1#105773.08647397933
10#104004.2710734667
11#104734.94627883218
12#103706.90836769438
13#104517.24429902695
14#103240.20501936116
15#103774.04056986963
16#105334.96264677486
17#105247.60548049113
18#104577.83222835643
19#103696.17633624419
2#104399.10706958565
20#104467.42555024812
21#105156.53340606744
22#104956.57007480167
23#105191.38486713592
24#105351.24081450213
25#103837.28079814557
26#106039.44655636858
27#104198.32599488636
28#104819.86897423705
29#104630.99562305892
3#104131.22724682091
30#105157.94999502305
4#104002.95949366827
5#106350.8367261598
6#103747.60481120409
7#105815.62975665675
8#102757.01278555016
9#103544.44914794416
