Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,1370.0,0.45666666666666667,-0.2833333333333333,-0.4831955522462645,44843.968824201,3000.0,2.5525547445255476,60,Transitive FD-NoF,0.75,0.95,0.05,25
2,1187.0,0.39566666666666667,1.6695196007695994,-0.3022201373429324,44843.968824201,3000.0,1.7245155855096883,60,Transitive FD-NoF,0.75,0.95,0.05,25
3,1154.0,0.38466666666666666,4.625210548160741,-0.23869328485397773,44843.968824201,3000.0,3.4991334488734833,60,Transitive FD-NoF,0.75,0.95,0.05,25
4,1149.0,0.383,5.654464550565121,-0.018302349680874037,44843.968824201,3000.0,2.5735422106179286,60,Transitive FD-NoF,0.75,0.95,0.05,25
5,1170.0,0.39,5.9044653365353295,-0.011181001105680481,44843.968824201,3000.0,1.164957264957265,60,Transitive FD-NoF,0.75,0.95,0.05,25
6,1080.0,0.36,3.60604620001139,0.0303409724528028,44843.968824201,3000.0,2.8787037037037035,60,Transitive FD-NoF,0.75,0.95,0.05,25
7,1108.0,0.36933333333333335,2.9381049425134633,0.12869126129492098,44843.968824201,3000.0,5.638640429338103,60,Transitive FD-NoF,0.75,0.95,0.05,25
8,942.0,0.314,2.9622806114460514,0.31240389268817564,44843.968824201,3000.0,2.964968152866242,60,Transitive FD-NoF,0.75,0.95,0.05,25
9,969.0,0.323,2.8308505781071434,0.4073662454744353,44843.968824201,3000.0,3.3296921549155907,60,Transitive FD-NoF,0.75,0.95,0.05,25
10,1160.0,0.38666666666666666,2.9239442084390377,0.41155808163105084,44843.968824201,3000.0,1.7025862068965518,60,Transitive FD-NoF,0.75,0.95,0.05,25
11,1034.0000000000002,0.34466666666666673,3.0246436423337113,0.4081402690121062,44843.968824201,3000.0,2.1595744680851063,60,Transitive FD-NoF,0.75,0.95,0.05,25
12,949.0000000000002,0.3163333333333334,2.958722331090776,0.4036211943962489,44843.968824201,3000.0,2.338250790305585,60,Transitive FD-NoF,0.75,0.95,0.05,25
13,1014.0,0.338,2.9976923503996096,0.4066365240217134,44843.968824201,3000.0,1.319526627218935,60,Transitive FD-NoF,0.75,0.95,0.05,25
14,1067.0,0.3556666666666667,4.273805551252983,0.4078887233687459,44843.968824201,3000.0,2.14058106841612,60,Transitive FD-NoF,0.75,0.95,0.05,25
15,927.0,0.309,4.446019957527266,0.39767039450353997,44843.968824201,3000.0,3.0647249190938513,60,Transitive FD-NoF,0.75,0.95,0.05,25
16,950.9999999999998,0.31699999999999995,4.634324652171094,0.39683426513380476,44843.968824201,3000.0,3.440041710114703,60,Transitive FD-NoF,0.75,0.95,0.05,25
