1#163948.2293953167
10#165321.94922006846
11#161098.06001471728
12#165771.70673272267
13#163147.99603097566
14#165000.42662849964
15#164069.97996237452
16#165461.15107713192
17#164301.43031663
18#163815.23597930674
19#162232.49698676786
2#165293.95234659556
20#164940.86476060952
21#167099.3405662453
22#163264.2863398629
23#163448.8224675148
24#164430.95823408055
25#162424.43280559094
26#163863.89406031044
27#165345.854103291
28#164016.11298821153
29#162942.7648675478
3#164720.88927352126
30#165571.5779892901
4#163675.94767240432
5#168053.79638390036
6#163029.61774996974
7#164727.51130063666
8#160104.4124472248
9#165309.27581143018
