Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,1326.0,0.442,-0.2833333333333333,-0.48609513305518787,45205.18922756406,3000.0,2.5525547445255476,60,FD-NoF,0.75,0.95,0.05,3
2,1186.9999999999998,0.3956666666666666,1.5736798176570876,-0.3035713589224206,45205.18922756406,3000.0,1.7245155855096883,60,FD-NoF,0.75,0.95,0.05,3
3,1143.0,0.381,4.5990609936770745,-0.23961841252528943,45205.18922756406,3000.0,3.4991334488734833,60,FD-NoF,0.75,0.95,0.05,3
4,1149.0,0.383,5.645824801036812,-0.01983886788128848,45205.18922756406,3000.0,2.5735422106179286,60,FD-NoF,0.75,0.95,0.05,3
5,1159.0,0.3863333333333333,5.9161954041368165,-0.012459160905990953,45205.18922756406,3000.0,1.164957264957265,60,FD-NoF,0.75,0.95,0.05,3
6,1080.0,0.36,3.594254024478413,0.030738107538270852,45205.18922756406,3000.0,2.8787037037037035,60,FD-NoF,0.75,0.95,0.05,3
7,1117.9999999999998,0.3726666666666666,2.918653477484133,0.1322354896038925,45205.18922756406,3000.0,5.638640429338103,60,FD-NoF,0.75,0.95,0.05,3
8,942.0000000000002,0.31400000000000006,2.928072524016019,0.31550350871461563,45205.18922756406,3000.0,2.964968152866242,60,FD-NoF,0.75,0.95,0.05,3
9,1007.0,0.33566666666666667,2.8040024054550847,0.41144212549587994,45205.18922756406,3000.0,3.3296921549155907,60,FD-NoF,0.75,0.95,0.05,3
10,1160.0,0.38666666666666666,2.8953082415528315,0.4154202946710187,45205.18922756406,3000.0,1.7025862068965518,60,FD-NoF,0.75,0.95,0.05,3
11,1009.0,0.3363333333333333,2.987842196908701,0.4108952387745225,45205.18922756406,3000.0,2.1595744680851063,60,FD-NoF,0.75,0.95,0.05,3
12,949.0000000000001,0.31633333333333336,2.922428907981462,0.4053138855576526,45205.18922756406,3000.0,2.338250790305585,60,FD-NoF,0.75,0.95,0.05,3
13,1014.0,0.338,2.9581328945064596,0.40830743423275073,45205.18922756406,3000.0,1.319526627218935,60,FD-NoF,0.75,0.95,0.05,3
14,1067.0,0.3556666666666667,4.2384123455022396,0.40968801645065317,45205.18922756406,3000.0,2.14058106841612,60,FD-NoF,0.75,0.95,0.05,3
15,927.0,0.309,4.4079049643285835,0.3987749452656647,45205.18922756406,3000.0,3.0647249190938513,60,FD-NoF,0.75,0.95,0.05,3
16,959.0,0.31966666666666665,4.599548326561234,0.3980723413979901,45205.18922756406,3000.0,3.440041710114703,60,FD-NoF,0.75,0.95,0.05,3
17,914.0,0.30466666666666664,4.751002933539168,0.42479477792751236,45205.18922756406,3000.0,3.202407002188184,60,FD-NoF,0.75,0.95,0.05,3
18,1071.0,0.357,4.989298079568473,0.46101130371070215,45205.18922756406,3000.0,1.188608776844071,60,FD-NoF,0.75,0.95,0.05,3
19,1031.0,0.3436666666666667,5.239050742823921,0.4917435398634902,45205.18922756406,3000.0,3.322987390882638,60,FD-NoF,0.75,0.95,0.05,3
20,1047.9999999999998,0.3493333333333333,5.409875120675122,0.4948119197703444,45205.18922756406,3000.0,1.1087786259541985,60,FD-NoF,0.75,0.95,0.05,3
21,1060.5,0.3535,4.886823818961996,0.498071268253124,45205.18922756406,3000.0,0.9539823008849557,60,FD-NoF,0.75,0.95,0.05,3
22,1094.0,0.36466666666666664,4.971722663443714,0.4968501212942737,45205.18922756406,3000.0,2.729433272394881,60,FD-NoF,0.75,0.95,0.05,3
23,950.0,0.31666666666666665,5.072897923690615,0.49203025286749813,45205.18922756406,3000.0,4.1410526315789475,60,FD-NoF,0.75,0.95,0.05,3
24,637.0,0.21233333333333335,4.930216164683165,0.4925955014386968,45205.18922756406,3000.0,1.2628372497824194,60,FD-NoF,0.75,0.95,0.05,3
25,933.0000000000002,0.31100000000000005,4.913114867786131,0.5209527143522643,45205.18922756406,3000.0,2.356913183279743,60,FD-NoF,0.75,0.95,0.05,3
26,798.7965035828206,0.26626550119427356,5.015861352184733,0.5207396230676264,45205.18922756406,3000.0,1.8845738942826322,60,FD-NoF,0.75,0.95,0.05,3
27,825.5529100529101,0.27518430335097005,5.0541663037496205,0.514901411556508,45205.18922756406,3000.0,2.800825593395253,60,FD-NoF,0.75,0.95,0.05,3
28,736.0,0.24533333333333332,5.15767465282922,0.5156041399323766,45205.18922756406,3000.0,2.808450704225352,60,FD-NoF,0.75,0.95,0.05,3
29,694.8148148148148,0.23160493827160492,5.214796346159049,0.5098320235108867,45205.18922756406,3000.0,8.8046783625731,60,FD-NoF,0.75,0.95,0.05,3
30,605.7234848484849,0.2019078282828283,5.26347495678309,0.5088576664518196,45205.18922756406,3000.0,2.1718426501035197,60,FD-NoF,0.75,0.95,0.05,3
31,594.0806818181818,0.19802689393939393,5.33089026837795,0.5055823485747583,45205.18922756406,3000.0,4.195694716242661,60,FD-NoF,0.75,0.95,0.05,3
32,605.65625,0.20188541666666668,5.326411921435628,0.49858385907001973,45205.18922756406,3000.0,4.210698689956332,60,FD-NoF,0.75,0.95,0.05,3
33,476.31818181818176,0.15877272727272726,5.342841899053625,0.4941887514467529,45205.18922756406,3000.0,4.503378378378378,60,FD-NoF,0.75,0.95,0.05,3
34,521.6222222222223,0.1738740740740741,5.348624838115773,0.5240294504870147,45205.18922756406,3000.0,2.2396265560165975,60,FD-NoF,0.75,0.95,0.05,3
35,528.0,0.176,5.371337354806055,0.5160821758217414,45205.18922756406,3000.0,2.040498442367601,60,FD-NoF,0.75,0.95,0.05,3
36,475.99999999999983,0.15866666666666662,5.381459929592742,0.5067878315006829,45205.18922756406,3000.0,13.937759336099585,60,FD-NoF,0.75,0.95,0.05,3
37,379.0,0.12633333333333333,5.392189874722829,0.5025678110480868,45205.18922756406,3000.0,2.4952380952380953,60,FD-NoF,0.75,0.95,0.05,3
38,338.25000000000006,0.11275000000000002,5.393490948130254,0.49628677671225446,45205.18922756406,3000.0,5.352739726027397,60,FD-NoF,0.75,0.95,0.05,3
39,359.0,0.11966666666666667,5.407138727674751,0.48847984689828566,45205.18922756406,3000.0,3.691329479768786,60,FD-NoF,0.75,0.95,0.05,3
40,328.1875000000001,0.10939583333333337,5.397583221551312,0.48320316561608717,45205.18922756406,3000.0,2.5090702947845807,60,FD-NoF,0.75,0.95,0.05,3
41,382.27419698314105,0.12742473232771367,5.402159276599497,0.48105330365609145,45205.18922756406,3000.0,1.7336898395721925,60,FD-NoF,0.75,0.95,0.05,3
42,399.5833333333333,0.13319444444444445,5.404382839087234,0.480335526766434,45205.18922756406,3000.0,1.6613508442776737,60,FD-NoF,0.75,0.95,0.05,3
43,421.0,0.14033333333333334,5.37898940720859,0.47773114085918456,45205.18922756406,3000.0,3.378787878787879,60,FD-NoF,0.75,0.95,0.05,3
44,284.4047619047619,0.0948015873015873,5.383583717611442,0.4764028262747478,45205.18922756406,3000.0,1.8576017130620985,60,FD-NoF,0.75,0.95,0.05,3
45,309.5,0.10316666666666667,5.388167707004896,0.4733048293453269,45205.18922756406,3000.0,4.0950782997762865,60,FD-NoF,0.75,0.95,0.05,3
46,405.83333333333326,0.13527777777777775,5.395386878813839,0.4708189265484047,45205.18922756406,3000.0,4.428884026258205,60,FD-NoF,0.75,0.95,0.05,3
47,347.7920634920637,0.1159306878306879,5.405777324561642,0.47002552980859474,45205.18922756406,3000.0,1.5320574162679426,60,FD-NoF,0.75,0.95,0.05,3
48,378.0,0.126,5.407661909712815,0.4691711375877962,45205.18922756406,3000.0,2.500968992248062,60,FD-NoF,0.75,0.95,0.05,3
49,389.33333333333337,0.1297777777777778,5.399822589452188,0.49391902872548255,45205.18922756406,3000.0,1.5088062622309197,60,FD-NoF,0.75,0.95,0.05,3
50,458.7511111111111,0.15291703703703702,5.403686811916164,0.4923279784992335,45205.18922756406,3000.0,1.694207027540361,60,FD-NoF,0.75,0.95,0.05,3
51,365.1874999999999,0.12172916666666662,5.410590745392631,0.4911885474727527,45205.18922756406,3000.0,2.942366026289181,60,FD-NoF,0.75,0.95,0.05,3
52,321.0,0.107,5.437299889529459,0.4914066105995848,45205.18922756406,3000.0,1.6326530612244898,60,FD-NoF,0.75,0.95,0.05,3
53,342.5999999999999,0.11419999999999997,5.445062952796268,0.4909032542280228,45205.18922756406,3000.0,1.4770459081836327,60,FD-NoF,0.75,0.95,0.05,3
54,374.0,0.12466666666666666,5.452153085018791,0.49009875910853506,45205.18922756406,3000.0,2.1599210266535045,60,FD-NoF,0.75,0.95,0.05,3
55,380.9200000000001,0.12697333333333335,5.464422762633835,0.4871603660845024,45205.18922756406,3000.0,6.810865191146881,60,FD-NoF,0.75,0.95,0.05,3
56,321.00000000000006,0.10700000000000003,5.484124245431247,0.48600224156106664,45205.18922756406,3000.0,3.200190657769304,60,FD-NoF,0.75,0.95,0.05,3
57,305.73666666666657,0.10191222222222218,5.494345602992345,0.4855254047413862,45205.18922756406,3000.0,1.4217311233885819,60,FD-NoF,0.75,0.95,0.05,3
58,272.76644736842104,0.09092214912280701,5.514801986184186,0.48449154615505025,45205.18922756406,3000.0,2.380952380952381,60,FD-NoF,0.75,0.95,0.05,3
59,332.71356421356427,0.11090452140452142,5.521388854033589,0.4795894450369149,45205.18922756406,3000.0,2.824919441460795,60,FD-NoF,0.75,0.95,0.05,3
60,418.4999999999999,0.13949999999999996,5.5205824640776004,0.47274234768975115,45205.18922756406,3000.0,3.391919191919192,60,FD-NoF,0.75,0.95,0.05,3
61,322.19999999999993,0.10739999999999998,5.52228422398805,0.46828584952309754,45205.18922756406,3000.0,2.568273092369478,60,FD-NoF,0.75,0.95,0.05,3
62,328.0,0.10933333333333334,5.527806927081795,0.5007256379060157,45205.18922756406,3000.0,2.0248520710059172,60,FD-NoF,0.75,0.95,0.05,3
63,244.0,0.08133333333333333,5.528330916576682,0.49698043711979994,45205.18922756406,3000.0,5.24515393386545,60,FD-NoF,0.75,0.95,0.05,3
