Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,1370.0,0.45666666666666667,-0.2833333333333333,-0.4831955522462645,45649.25085540771,3000.0,2.5525547445255476,60,FD-NoF,0.75,0.95,0.05,27
2,1187.0,0.39566666666666667,1.64658112510385,-0.3014650348994786,45649.25085540771,3000.0,1.7245155855096883,60,FD-NoF,0.75,0.95,0.05,27
3,1154.0,0.38466666666666666,4.6165260867099445,-0.2383911543962092,45649.25085540771,3000.0,3.4991334488734833,60,FD-NoF,0.75,0.95,0.05,27
4,1149.0,0.383,5.648957669970583,-0.018114707951693114,45649.25085540771,3000.0,2.5735422106179286,60,FD-NoF,0.75,0.95,0.05,27
5,1170.0,0.39,5.8626427738483535,-0.010609429949741277,45649.25085540771,3000.0,1.164957264957265,60,FD-NoF,0.75,0.95,0.05,27
6,1080.0,0.36,3.6050460498765213,0.031503879790782056,45649.25085540771,3000.0,2.8787037037037035,60,FD-NoF,0.75,0.95,0.05,27
7,1118.0,0.37266666666666665,2.938216645683333,0.1329192615431931,45649.25085540771,3000.0,5.638640429338103,60,FD-NoF,0.75,0.95,0.05,27
8,942.0,0.314,2.9545603358050436,0.31508860598613725,45649.25085540771,3000.0,2.964968152866242,60,FD-NoF,0.75,0.95,0.05,27
9,1007.0000000000002,0.3356666666666667,2.8386613256992845,0.40943358105065525,45649.25085540771,3000.0,3.3296921549155907,60,FD-NoF,0.75,0.95,0.05,27
10,1160.0,0.38666666666666666,2.9349325618005766,0.4136643421269078,45649.25085540771,3000.0,1.7025862068965518,60,FD-NoF,0.75,0.95,0.05,27
11,1034.0,0.3446666666666667,3.0345370861635255,0.4096204846899436,45649.25085540771,3000.0,2.1595744680851063,60,FD-NoF,0.75,0.95,0.05,27
12,948.9999999999998,0.31633333333333324,2.9716135702468325,0.4049009662994948,45649.25085540771,3000.0,2.338250790305585,60,FD-NoF,0.75,0.95,0.05,27
13,1014.0000000000001,0.338,3.015890356085893,0.40778760261690683,45649.25085540771,3000.0,1.319526627218935,60,FD-NoF,0.75,0.95,0.05,27
14,1067.0,0.3556666666666667,4.303139107026403,0.40927304234991513,45649.25085540771,3000.0,2.14058106841612,60,FD-NoF,0.75,0.95,0.05,27
15,926.9999999999998,0.30899999999999994,4.478987517773218,0.3997482327760759,45649.25085540771,3000.0,3.0647249190938513,60,FD-NoF,0.75,0.95,0.05,27
16,959.0,0.31966666666666665,4.672277916697654,0.39881508015094647,45649.25085540771,3000.0,3.440041710114703,60,FD-NoF,0.75,0.95,0.05,27
