Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,1370.0,0.45666666666666667,-0.2833333333333333,-0.4831955522462645,80731.70428297315,3000.0,2.5525547445255476,60,Transitive FD-NoF,0.75,0.95,0.05,1
2,1159.721169607887,0.386573723202629,1.6826639089200488,-0.3028118152322648,80731.70428297315,3000.0,1.7245155855096883,60,Transitive FD-NoF,0.75,0.95,0.05,1
3,1153.9999999999968,0.3846666666666656,4.7241483902703125,-0.23960594519990772,80731.70428297315,3000.0,3.4991334488734833,60,Transitive FD-NoF,0.75,0.95,0.05,1
4,1128.331321569432,0.376110440523144,5.691103657797052,-0.018959694127419,80731.70428297315,3000.0,2.5735422106179286,60,Transitive FD-NoF,0.75,0.95,0.05,1
5,1142.3389718639323,0.38077965728797747,5.907758427068454,-0.011994358427073129,80731.70428297315,3000.0,1.164957264957265,60,Transitive FD-NoF,0.75,0.95,0.05,1
6,1073.5670547029526,0.35785568490098424,3.5960886057948414,0.033170677134045916,80731.70428297315,3000.0,2.8787037037037035,60,Transitive FD-NoF,0.75,0.95,0.05,1
7,1104.6585641108954,0.36821952137029845,2.875351641489126,0.13334127016490324,80731.70428297315,3000.0,5.638640429338103,60,Transitive FD-NoF,0.75,0.95,0.05,1
8,935.3321730537318,0.31177739101791063,2.873186125302375,0.31776807481545594,80731.70428297315,3000.0,2.964968152866242,60,Transitive FD-NoF,0.75,0.95,0.05,1
9,1004.2039569644834,0.33473465232149446,2.759483723483403,0.4115808644395297,80731.70428297315,3000.0,3.3296921549155907,60,Transitive FD-NoF,0.75,0.95,0.05,1
10,1123.4213220513295,0.37447377401710985,2.837708523049194,0.4158470803307631,80731.70428297315,3000.0,1.7025862068965518,60,Transitive FD-NoF,0.75,0.95,0.05,1
11,1018.6267087444007,0.33954223624813357,2.917948264919483,0.4121355354421706,80731.70428297315,3000.0,2.1595744680851063,60,Transitive FD-NoF,0.75,0.95,0.05,1
12,931.8726444821154,0.3106242148273718,2.8349348251883897,0.40885478237949385,80731.70428297315,3000.0,2.338250790305585,60,Transitive FD-NoF,0.75,0.95,0.05,1
13,991.2317877791459,0.33041059592638194,2.8695702199134376,0.4118643773547984,80731.70428297315,3000.0,1.319526627218935,60,Transitive FD-NoF,0.75,0.95,0.05,1
14,1047.8690448029101,0.34928968160097007,4.0767705231230495,0.4132823979573007,80731.70428297315,3000.0,2.14058106841612,60,Transitive FD-NoF,0.75,0.95,0.05,1
15,915.088775038749,0.305029591679583,4.2368124940270535,0.4028978461226205,80731.70428297315,3000.0,3.0647249190938513,60,Transitive FD-NoF,0.75,0.95,0.05,1
16,947.7096093451729,0.31590320311505765,4.419629705511002,0.40195197547844685,80731.70428297315,3000.0,3.440041710114703,60,Transitive FD-NoF,0.75,0.95,0.05,1
17,898.7374129536333,0.29957913765121114,4.552410652492142,0.4299094606719799,80731.70428297315,3000.0,3.202407002188184,60,Transitive FD-NoF,0.75,0.95,0.05,1
18,1058.5075146332697,0.3528358382110899,4.78258728576346,0.4655980706794524,80731.70428297315,3000.0,1.188608776844071,60,Transitive FD-NoF,0.75,0.95,0.05,1
19,1012.7563464781995,0.3375854488260665,5.027979940438754,0.4968637437299314,80731.70428297315,3000.0,3.322987390882638,60,Transitive FD-NoF,0.75,0.95,0.05,1
20,1041.0859473391629,0.3470286491130543,5.199952308918613,0.4995162316904063,80731.70428297315,3000.0,1.1087786259541985,60,Transitive FD-NoF,0.75,0.95,0.05,1
21,1061.0983145803123,0.3536994381934374,4.705580943834727,0.502516470796046,80731.70428297315,3000.0,0.9539823008849557,60,Transitive FD-NoF,0.75,0.95,0.05,1
22,995.3452837389119,0.331781761246304,4.851451744675635,0.49990949247990063,80731.70428297315,3000.0,2.729433272394881,60,Transitive FD-NoF,0.75,0.95,0.05,1
23,910.1318747828749,0.3033772915942916,4.965672060656362,0.49558384665477695,80731.70428297315,3000.0,4.1410526315789475,60,Transitive FD-NoF,0.75,0.95,0.05,1
24,996.9990338305892,0.33233301127686304,4.978634239371809,0.49729450294321886,80731.70428297315,3000.0,1.2628372497824194,60,Transitive FD-NoF,0.75,0.95,0.05,1
25,881.9136728036825,0.2939712242678942,4.943469423621904,0.528992034521153,80731.70428297315,3000.0,2.356913183279743,60,Transitive FD-NoF,0.75,0.95,0.05,1
26,769.4862950890096,0.25649543169633654,5.040644362475365,0.5275985385991544,80731.70428297315,3000.0,1.8845738942826322,60,Transitive FD-NoF,0.75,0.95,0.05,1
27,921.6442408749688,0.3072147469583229,5.1072551617973945,0.522520826015696,80731.70428297315,3000.0,2.800825593395253,60,Transitive FD-NoF,0.75,0.95,0.05,1
28,909.4817090020982,0.3031605696673661,5.275525595681964,0.5235416328682264,80731.70428297315,3000.0,2.808450704225352,60,Transitive FD-NoF,0.75,0.95,0.05,1
29,789.8347549654608,0.2632782516551536,5.327630872036565,0.5183816578453058,80731.70428297315,3000.0,8.8046783625731,60,Transitive FD-NoF,0.75,0.95,0.05,1
30,901.8891269291255,0.30062970897637514,5.4486452452252125,0.5190868595827012,80731.70428297315,3000.0,2.1718426501035197,60,Transitive FD-NoF,0.75,0.95,0.05,1
31,920.8557733995913,0.3069519244665304,5.597047544925076,0.5175344773821234,80731.70428297315,3000.0,4.195694716242661,60,Transitive FD-NoF,0.75,0.95,0.05,1
32,827.8307834965843,0.27594359449886147,5.615332670352067,0.512383645747431,80731.70428297315,3000.0,4.210698689956332,60,Transitive FD-NoF,0.75,0.95,0.05,1
33,810.7920500237242,0.2702640166745747,5.669583039954023,0.5092375216262159,80731.70428297315,3000.0,4.503378378378378,60,Transitive FD-NoF,0.75,0.95,0.05,1
34,867.110268530784,0.289036756176928,5.739961184650896,0.5417237067927161,80731.70428297315,3000.0,2.2396265560165975,60,Transitive FD-NoF,0.75,0.95,0.05,1
35,815.0041034159428,0.27166803447198096,5.813843861802895,0.5377316314397497,80731.70428297315,3000.0,2.040498442367601,60,Transitive FD-NoF,0.75,0.95,0.05,1
36,709.0228676576454,0.2363409558858818,5.8621044862668175,0.5308094843649759,80731.70428297315,3000.0,13.937759336099585,60,Transitive FD-NoF,0.75,0.95,0.05,1
37,719.5950867061766,0.23986502890205888,5.920997422249564,0.5298564207767654,80731.70428297315,3000.0,2.4952380952380953,60,Transitive FD-NoF,0.75,0.95,0.05,1
38,683.2503300509742,0.2277501100169914,5.9633268949372145,0.5262339258151548,80731.70428297315,3000.0,5.352739726027397,60,Transitive FD-NoF,0.75,0.95,0.05,1
39,577.090933885295,0.19236364462843167,5.9850093033821485,0.521957646143543,80731.70428297315,3000.0,3.691329479768786,60,Transitive FD-NoF,0.75,0.95,0.05,1
40,532.1395690682292,0.1773798563560764,6.004466248110027,0.519807079723963,80731.70428297315,3000.0,2.5090702947845807,60,Transitive FD-NoF,0.75,0.95,0.05,1
41,666.5065891163869,0.22216886303879563,6.057192115077792,0.5193024233634093,80731.70428297315,3000.0,1.7336898395721925,60,Transitive FD-NoF,0.75,0.95,0.05,1
42,646.5220639532079,0.2155073546510693,6.11382241278273,0.5187579222258317,80731.70428297315,3000.0,1.6613508442776737,60,Transitive FD-NoF,0.75,0.95,0.05,1
43,561.5583668918432,0.18718612229728107,6.1083044218638305,0.516440406079877,80731.70428297315,3000.0,3.378787878787879,60,Transitive FD-NoF,0.75,0.95,0.05,1
44,528.215465575183,0.17607182185839432,6.167635195809022,0.516400278270614,80731.70428297315,3000.0,1.8576017130620985,60,Transitive FD-NoF,0.75,0.95,0.05,1
45,477.1681809517524,0.1590560603172508,6.198943675603035,0.5135658943921544,80731.70428297315,3000.0,4.0950782997762865,60,Transitive FD-NoF,0.75,0.95,0.05,1
46,478.0747476247433,0.15935824920824776,6.221868890862698,0.5103476951758285,80731.70428297315,3000.0,4.428884026258205,60,Transitive FD-NoF,0.75,0.95,0.05,1
47,585.8632904394266,0.19528776347980886,6.26852620813085,0.5106688209377075,80731.70428297315,3000.0,1.5320574162679426,60,Transitive FD-NoF,0.75,0.95,0.05,1
48,608.5083733334475,0.20283612444448249,6.297679152811541,0.5100292917886133,80731.70428297315,3000.0,2.500968992248062,60,Transitive FD-NoF,0.75,0.95,0.05,1
49,735.1545917659454,0.24505153058864845,6.317778262613642,0.5430218126800025,80731.70428297315,3000.0,1.5088062622309197,60,Transitive FD-NoF,0.75,0.95,0.05,1
50,671.0600180167706,0.2236866726722569,6.346286109403682,0.5424231408592723,80731.70428297315,3000.0,1.694207027540361,60,Transitive FD-NoF,0.75,0.95,0.05,1
51,559.8978116880733,0.18663260389602443,6.3782817687279545,0.541579205498173,80731.70428297315,3000.0,2.942366026289181,60,Transitive FD-NoF,0.75,0.95,0.05,1
52,534.7557176233627,0.17825190587445422,6.444208703225714,0.5419355371262943,80731.70428297315,3000.0,1.6326530612244898,60,Transitive FD-NoF,0.75,0.95,0.05,1
53,579.204769164093,0.19306825638803102,6.494054363016984,0.5418182135632575,80731.70428297315,3000.0,1.4770459081836327,60,Transitive FD-NoF,0.75,0.95,0.05,1
54,558.2658306556932,0.1860886102185644,6.535677074961419,0.5412547360083196,80731.70428297315,3000.0,2.1599210266535045,60,Transitive FD-NoF,0.75,0.95,0.05,1
55,538.2792096784879,0.17942640322616263,6.558454408032467,0.5384346770812517,80731.70428297315,3000.0,6.810865191146881,60,Transitive FD-NoF,0.75,0.95,0.05,1
