1#112290.47331566983
10#113116.39396101891
11#111455.37058358545
12#111659.21313920085
13#111452.95255001601
14#112660.1481130441
15#113499.53480757633
16#112747.32076684128
17#111481.68011777506
18#111193.66849804836
19#112086.89629540873
2#112220.25022600412
20#112075.69354770945
21#113335.97604111626
22#111994.79907929104
23#112381.57027095545
24#111889.21158714696
25#111762.82505136346
26#113287.00102290182
27#112587.09900241057
28#113565.98220399907
29#113503.53168581358
3#112289.9688944239
30#111822.62606741351
4#112656.5882392414
5#114058.08279626998
6#112655.80685809441
7#110767.39884348008
8#111595.24213222781
9#111479.45448200346
