Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,1370.0,0.45666666666666667,-0.2833333333333333,-0.4831955522462645,57686.38394260455,3000.0,2.5525547445255476,60,Transitive FD-NoF,0.75,0.95,0.05,6
2,1182.6538107707565,0.39421793692358553,1.640431792498831,-0.3016381736989637,57686.38394260455,3000.0,1.7245155855096883,60,Transitive FD-NoF,0.75,0.95,0.05,6
3,1150.4864816681506,0.38349549388938353,4.637308651959489,-0.23916923558600153,57686.38394260455,3000.0,3.4991334488734833,60,Transitive FD-NoF,0.75,0.95,0.05,6
4,1136.3889967875705,0.3787963322625235,5.671229579095103,-0.01883612073894448,57686.38394260455,3000.0,2.5735422106179286,60,Transitive FD-NoF,0.75,0.95,0.05,6
5,1147.6983212470484,0.38256610708234945,5.913371704696471,-0.012165184030294342,57686.38394260455,3000.0,1.164957264957265,60,Transitive FD-NoF,0.75,0.95,0.05,6
6,1078.949727292955,0.35964990909765165,3.6425564978797045,0.03399879391424617,57686.38394260455,3000.0,2.8787037037037035,60,Transitive FD-NoF,0.75,0.95,0.05,6
7,1112.558010141271,0.3708526700470904,2.915750436175736,0.13365307262545734,57686.38394260455,3000.0,5.638640429338103,60,Transitive FD-NoF,0.75,0.95,0.05,6
8,938.6205024232357,0.31287350080774523,2.9207108141123492,0.31750667622787865,57686.38394260455,3000.0,2.964968152866242,60,Transitive FD-NoF,0.75,0.95,0.05,6
9,1004.3623376975313,0.3347874458991771,2.8164661820593424,0.41018782213661437,57686.38394260455,3000.0,3.3296921549155907,60,Transitive FD-NoF,0.75,0.95,0.05,6
10,1152.1231317326544,0.3840410439108848,2.9078316684732655,0.41483961786061346,57686.38394260455,3000.0,1.7025862068965518,60,Transitive FD-NoF,0.75,0.95,0.05,6
11,1026.2016185111506,0.34206720617038355,2.997589476402504,0.41136517991843846,57686.38394260455,3000.0,2.1595744680851063,60,Transitive FD-NoF,0.75,0.95,0.05,6
12,942.704835937592,0.31423494531253066,2.9244150841109753,0.40830581759752255,57686.38394260455,3000.0,2.338250790305585,60,Transitive FD-NoF,0.75,0.95,0.05,6
13,983.5989712107511,0.32786632373691704,2.953206053743014,0.41122608938540545,57686.38394260455,3000.0,1.319526627218935,60,Transitive FD-NoF,0.75,0.95,0.05,6
14,1050.7751840356773,0.35025839467855907,4.181034233502745,0.4122214129959506,57686.38394260455,3000.0,2.14058106841612,60,Transitive FD-NoF,0.75,0.95,0.05,6
15,921.5098702767663,0.3071699567589221,4.35941716841179,0.401692603589162,57686.38394260455,3000.0,3.0647249190938513,60,Transitive FD-NoF,0.75,0.95,0.05,6
16,939.8895908327897,0.3132965302775966,4.549338248039217,0.40062045685089487,57686.38394260455,3000.0,3.440041710114703,60,Transitive FD-NoF,0.75,0.95,0.05,6
17,908.5360495362563,0.3028453498454188,4.685809337838802,0.4280055851854901,57686.38394260455,3000.0,3.202407002188184,60,Transitive FD-NoF,0.75,0.95,0.05,6
18,1053.3926450791046,0.35113088169303486,4.920764805912322,0.46353142303514944,57686.38394260455,3000.0,1.188608776844071,60,Transitive FD-NoF,0.75,0.95,0.05,6
19,1020.7897000750461,0.3402632333583487,5.167570600095781,0.4944799741513131,57686.38394260455,3000.0,3.322987390882638,60,Transitive FD-NoF,0.75,0.95,0.05,6
20,1035.2650461814023,0.3450883487271341,5.3331264773624705,0.4970386157773774,57686.38394260455,3000.0,1.1087786259541985,60,Transitive FD-NoF,0.75,0.95,0.05,6
21,1052.6540391819951,0.3508846797273317,4.821233037576575,0.5000629001601189,57686.38394260455,3000.0,0.9539823008849557,60,Transitive FD-NoF,0.75,0.95,0.05,6
22,1056.803660218288,0.3522678867394294,4.981385221546619,0.49835003706952435,57686.38394260455,3000.0,2.729433272394881,60,Transitive FD-NoF,0.75,0.95,0.05,6
23,918.2260398958845,0.3060753466319615,5.101317901890833,0.4937766099914851,57686.38394260455,3000.0,4.1410526315789475,60,Transitive FD-NoF,0.75,0.95,0.05,6
24,835.4278503608775,0.2784759501202925,5.023720922534264,0.49505918215664146,57686.38394260455,3000.0,1.2628372497824194,60,Transitive FD-NoF,0.75,0.95,0.05,6
25,912.7355428677515,0.3042451809559172,4.992249768355213,0.5261753224779278,57686.38394260455,3000.0,2.356913183279743,60,Transitive FD-NoF,0.75,0.95,0.05,6
26,889.9593627817943,0.29665312092726476,5.113783412404708,0.5262930715239998,57686.38394260455,3000.0,1.8845738942826322,60,Transitive FD-NoF,0.75,0.95,0.05,6
27,883.1006216625465,0.2943668738875155,5.173333046450321,0.5199324429926229,57686.38394260455,3000.0,2.800825593395253,60,Transitive FD-NoF,0.75,0.95,0.05,6
28,816.0167614153938,0.2720055871384646,5.2919058840598305,0.5209092849636282,57686.38394260455,3000.0,2.808450704225352,60,Transitive FD-NoF,0.75,0.95,0.05,6
29,689.8509770205155,0.22995032567350518,5.325279142715364,0.5145250222031594,57686.38394260455,3000.0,8.8046783625731,60,Transitive FD-NoF,0.75,0.95,0.05,6
30,796.9253440659104,0.2656417813553035,5.433942827319688,0.5148671407197817,57686.38394260455,3000.0,2.1718426501035197,60,Transitive FD-NoF,0.75,0.95,0.05,6
31,851.5126395366906,0.2838375465122302,5.584668427878953,0.5130139531184486,57686.38394260455,3000.0,4.195694716242661,60,Transitive FD-NoF,0.75,0.95,0.05,6
32,815.5521557045134,0.27185071856817117,5.599884345089561,0.5082268144223737,57686.38394260455,3000.0,4.210698689956332,60,Transitive FD-NoF,0.75,0.95,0.05,6
33,703.5749173314393,0.23452497244381312,5.6307890796927484,0.5045567730851798,57686.38394260455,3000.0,4.503378378378378,60,Transitive FD-NoF,0.75,0.95,0.05,6
34,792.5124258814271,0.2641708086271424,5.6852719498951645,0.5367807726318868,57686.38394260455,3000.0,2.2396265560165975,60,Transitive FD-NoF,0.75,0.95,0.05,6
35,750.185961747504,0.250061987249168,5.733748737825479,0.5329532891762863,57686.38394260455,3000.0,2.040498442367601,60,Transitive FD-NoF,0.75,0.95,0.05,6
36,640.8994896867121,0.21363316322890402,5.766056924817246,0.5246779295399584,57686.38394260455,3000.0,13.937759336099585,60,Transitive FD-NoF,0.75,0.95,0.05,6
37,679.2171168273851,0.22640570560912837,5.806577714335329,0.5227471267647477,57686.38394260455,3000.0,2.4952380952380953,60,Transitive FD-NoF,0.75,0.95,0.05,6
38,508.3529411764676,0.16945098039215586,5.820144061973451,0.5176656029569678,57686.38394260455,3000.0,5.352739726027397,60,Transitive FD-NoF,0.75,0.95,0.05,6
39,593.4324806479691,0.19781082688265636,5.8340846627382925,0.5141049941515725,57686.38394260455,3000.0,3.691329479768786,60,Transitive FD-NoF,0.75,0.95,0.05,6
40,423.61734322087676,0.14120578107362558,5.84148586043253,0.5104232376513641,57686.38394260455,3000.0,2.5090702947845807,60,Transitive FD-NoF,0.75,0.95,0.05,6
41,415.25184991939125,0.13841728330646375,5.85562475045015,0.5080229766471045,57686.38394260455,3000.0,1.7336898395721925,60,Transitive FD-NoF,0.75,0.95,0.05,6
42,552.6768511861956,0.1842256170620652,5.896085290674117,0.506827899617477,57686.38394260455,3000.0,1.6613508442776737,60,Transitive FD-NoF,0.75,0.95,0.05,6
43,517.5512059699915,0.17251706865666386,5.880082453382172,0.5041361633357356,57686.38394260455,3000.0,3.378787878787879,60,Transitive FD-NoF,0.75,0.95,0.05,6
44,421.6455925566183,0.1405485308522061,5.916516908015856,0.5037084960207637,57686.38394260455,3000.0,1.8576017130620985,60,Transitive FD-NoF,0.75,0.95,0.05,6
45,382.1740985263187,0.12739136617543956,5.928450387787219,0.5005796492382908,57686.38394260455,3000.0,4.0950782997762865,60,Transitive FD-NoF,0.75,0.95,0.05,6
46,427.5056788428244,0.14250189294760815,5.9433521949951205,0.4967846311641086,57686.38394260455,3000.0,4.428884026258205,60,Transitive FD-NoF,0.75,0.95,0.05,6
47,454.7306822415989,0.15157689408053296,5.968537061960372,0.49647469283206913,57686.38394260455,3000.0,1.5320574162679426,60,Transitive FD-NoF,0.75,0.95,0.05,6
48,415.68800328327825,0.13856266776109274,5.975117595308729,0.49476074949398635,57686.38394260455,3000.0,2.500968992248062,60,Transitive FD-NoF,0.75,0.95,0.05,6
49,506.05697792578474,0.16868565930859492,5.9710695628549955,0.5256647852380032,57686.38394260455,3000.0,1.5088062622309197,60,Transitive FD-NoF,0.75,0.95,0.05,6
50,555.5480062240929,0.1851826687413643,5.9788182831908205,0.5239905511353647,57686.38394260455,3000.0,1.694207027540361,60,Transitive FD-NoF,0.75,0.95,0.05,6
51,494.0000000000008,0.16466666666666693,5.998481570776479,0.5228024503800499,57686.38394260455,3000.0,2.942366026289181,60,Transitive FD-NoF,0.75,0.95,0.05,6
52,376.9143841240254,0.1256381280413418,6.035858604039252,0.5228365029152231,57686.38394260455,3000.0,1.6326530612244898,60,Transitive FD-NoF,0.75,0.95,0.05,6
53,364.35525131432166,0.12145175043810721,6.043525915576074,0.5218989907918606,57686.38394260455,3000.0,1.4770459081836327,60,Transitive FD-NoF,0.75,0.95,0.05,6
54,511.55722517960675,0.1705190750598689,6.085127282371067,0.5214738717769761,57686.38394260455,3000.0,2.1599210266535045,60,Transitive FD-NoF,0.75,0.95,0.05,6
55,504.11725332435356,0.1680390844414512,6.103858290144115,0.5188614734076008,57686.38394260455,3000.0,6.810865191146881,60,Transitive FD-NoF,0.75,0.95,0.05,6
56,421.01370559000395,0.14033790186333464,6.136116270806998,0.5181272185191595,57686.38394260455,3000.0,3.200190657769304,60,Transitive FD-NoF,0.75,0.95,0.05,6
57,478.9760845219395,0.15965869484064651,6.167541497197522,0.5180064490281902,57686.38394260455,3000.0,1.4217311233885819,60,Transitive FD-NoF,0.75,0.95,0.05,6
58,365.3258080427522,0.12177526934758408,6.195070745234152,0.5168831547739484,57686.38394260455,3000.0,2.380952380952381,60,Transitive FD-NoF,0.75,0.95,0.05,6
59,349.11439247208887,0.11637146415736295,6.2024200718391365,0.5112077603365779,57686.38394260455,3000.0,2.824919441460795,60,Transitive FD-NoF,0.75,0.95,0.05,6
