Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,2815.0,0.4691666666666667,-0.36666666666666664,-0.6666666666666666,82192.5835843408,6000.0,0.7632863340563991,60,Transitive FD-NoF,0.75,0.95,0.05,7
2,1476.0,0.246,0.15488141312983336,-0.5333333333333333,82192.5835843408,6000.0,0.4081858407079646,60,Transitive FD-NoF,0.75,0.95,0.05,7
3,3407.9999999999995,0.568,0.7809136893012488,-0.43333333333333335,82192.5835843408,6000.0,0.9670828603859251,60,Transitive FD-NoF,0.75,0.95,0.05,7
4,2411.000000000002,0.40183333333333365,1.4258127051457916,-0.4,82192.5835843408,6000.0,0.6691645850679989,60,Transitive FD-NoF,0.75,0.95,0.05,7
5,792.0,0.132,1.5192902226426233,-0.3333333333333333,82192.5835843408,6000.0,0.22006112809113643,60,Transitive FD-NoF,0.75,0.95,0.05,7
6,2527.0000000000005,0.42116666666666674,2.003405493080571,-0.3,82192.5835843408,6000.0,0.7224128073184677,60,Transitive FD-NoF,0.75,0.95,0.05,7
7,3303.0,0.5505,2.8118997741068132,-0.27233973397339734,82192.5835843408,6000.0,1.6455995274660367,60,Transitive FD-NoF,0.75,0.95,0.05,7
8,2050.0,0.3416666666666667,3.126471138323796,-0.239006400640064,82192.5835843408,6000.0,0.6408252578930916,60,Transitive FD-NoF,0.75,0.95,0.05,7
9,2775.999999999997,0.4626666666666661,3.1913100338412463,-0.17233973397339739,82192.5835843408,6000.0,0.8093294460641399,60,Transitive FD-NoF,0.75,0.95,0.05,7
10,1494.999999999998,0.24916666666666631,3.334214548135337,-0.17233973397339739,82192.5835843408,6000.0,0.40625,60,Transitive FD-NoF,0.75,0.95,0.05,7
11,1605.000000000001,0.2675000000000001,2.9900776082818292,-0.139006400640064,82192.5835843408,6000.0,0.47122724603640637,60,Transitive FD-NoF,0.75,0.95,0.05,7
12,1595.000000000001,0.2658333333333335,3.130068286667743,-0.139006400640064,82192.5835843408,6000.0,0.47969924812030074,60,Transitive FD-NoF,0.75,0.95,0.05,7
13,695.0,0.11583333333333333,3.2196825808993195,-0.03900640064006404,82192.5835843408,6000.0,0.20617027588252743,60,Transitive FD-NoF,0.75,0.95,0.05,7
14,1669.9999999999995,0.27833333333333327,2.711702943976124,-0.00567306730673068,82192.5835843408,6000.0,0.48363741673906746,60,Transitive FD-NoF,0.75,0.95,0.05,7
15,1961.0000000000007,0.3268333333333334,2.742883894478865,-0.005673067306730632,82192.5835843408,6000.0,0.6435838529701345,60,Transitive FD-NoF,0.75,0.95,0.05,7
16,2676.0000000000036,0.4460000000000006,2.6446575259698544,0.027660266026602726,82192.5835843408,6000.0,0.802158273381295,60,Transitive FD-NoF,0.75,0.95,0.05,7
17,2092.9999999999936,0.3488333333333323,2.6406893986435764,0.02766026602660269,82192.5835843408,6000.0,0.6795454545454546,60,Transitive FD-NoF,0.75,0.95,0.05,7
18,544.9999999999998,0.0908333333333333,2.680403900817502,0.06099359935993602,82192.5835843408,6000.0,0.1630272210589291,60,Transitive FD-NoF,0.75,0.95,0.05,7
19,2757.999999999974,0.45966666666666234,2.7786203350456122,0.060993599359935834,82192.5835843408,6000.0,0.8201011002081475,60,Transitive FD-NoF,0.75,0.95,0.05,7
20,628.9999999999999,0.10483333333333332,2.78860503738885,0.060993599359935875,82192.5835843408,6000.0,0.17894736842105263,60,Transitive FD-NoF,0.75,0.95,0.05,7
