Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,2815.0,0.4691666666666667,-0.35,-0.6666666666666666,84759.2426066252,6000.0,0.7632863340563991,60,Transitive FD-NoF,0.75,0.95,0.05,19
2,1476.0000000000002,0.24600000000000002,0.27258054343422683,-0.5333333333333333,84759.2426066252,6000.0,0.4081858407079646,60,Transitive FD-NoF,0.75,0.95,0.05,19
3,3408.0,0.568,1.1832789984945982,-0.43333333333333335,84759.2426066252,6000.0,0.9670828603859251,60,Transitive FD-NoF,0.75,0.95,0.05,19
4,2410.9999999999995,0.40183333333333326,1.5438572162231947,-0.4,84759.2426066252,6000.0,0.6691645850679989,60,Transitive FD-NoF,0.75,0.95,0.05,19
5,792.0000000000003,0.13200000000000006,2.089172596488059,-0.3333333333333333,84759.2426066252,6000.0,0.22006112809113643,60,Transitive FD-NoF,0.75,0.95,0.05,19
6,2526.9999999999995,0.4211666666666666,1.9877261657829692,-0.3,84759.2426066252,6000.0,0.7224128073184677,60,Transitive FD-NoF,0.75,0.95,0.05,19
7,3218.9999999999995,0.5365,2.0933504531656353,-0.27254975497549755,84759.2426066252,6000.0,1.6455995274660367,60,Transitive FD-NoF,0.75,0.95,0.05,19
8,2049.9999999999986,0.34166666666666645,2.621265831073882,-0.23921642164216408,84759.2426066252,6000.0,0.6408252578930916,60,Transitive FD-NoF,0.75,0.95,0.05,19
9,2775.999999999998,0.46266666666666634,2.4602321031319865,-0.17254975497549746,84759.2426066252,6000.0,0.8093294460641399,60,Transitive FD-NoF,0.75,0.95,0.05,19
10,1494.9999999999995,0.2491666666666666,2.6830644827551846,-0.17254975497549746,84759.2426066252,6000.0,0.40625,60,Transitive FD-NoF,0.75,0.95,0.05,19
11,1604.999999999999,0.26749999999999985,2.7657461161128167,-0.13921642164216408,84759.2426066252,6000.0,0.47122724603640637,60,Transitive FD-NoF,0.75,0.95,0.05,19
12,1595.0000000000014,0.2658333333333336,2.853979462757668,-0.13921642164216408,84759.2426066252,6000.0,0.47969924812030074,60,Transitive FD-NoF,0.75,0.95,0.05,19
13,695.0,0.11583333333333333,2.9899868356970964,-0.03921642164216412,84759.2426066252,6000.0,0.20617027588252743,60,Transitive FD-NoF,0.75,0.95,0.05,19
