1#181946.43219344184
10#180556.77297918088
11#182120.05106267464
12#178439.64399921033
13#178271.98177175224
14#186491.421401477
15#182046.34849604097
16#182969.23405809357
17#178888.25052478287
18#181410.77980286977
19#176658.50941248037
2#181083.17405608165
20#181547.86419421303
21#180976.7695453833
22#181135.93584110236
23#181955.8359260887
24#176772.05701020302
25#178005.2955265795
26#185710.98399280815
27#181802.59768822006
28#187542.6667051638
29#181268.1695053262
3#178549.10373007943
30#178839.88796807994
4#179487.07269594684
5#180756.26678319287
6#181079.96996798782
7#178521.88174977797
8#180120.70324820836
9#181048.84169180845
