Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,1369.9999999999998,0.4566666666666666,-0.2833333333333333,-0.4831955522462645,47848.474239557945,3000.0,2.5525547445255476,60,Transitive FD-NoF,0.75,0.95,0.05,17
2,1187.0000000000002,0.3956666666666667,1.6339507769380637,-0.30115281730735377,47848.474239557945,3000.0,1.7245155855096883,60,Transitive FD-NoF,0.75,0.95,0.05,17
3,1145.4452857540018,0.38181509525133395,4.7163335455196975,-0.23740873716470173,47848.474239557945,3000.0,3.4991334488734833,60,Transitive FD-NoF,0.75,0.95,0.05,17
4,1148.9999999999998,0.38299999999999995,5.7752804263553905,-0.017306670064838926,47848.474239557945,3000.0,2.5735422106179286,60,Transitive FD-NoF,0.75,0.95,0.05,17
5,1169.0343491517347,0.38967811638391153,5.997239033137705,-0.01000817865056091,47848.474239557945,3000.0,1.164957264957265,60,Transitive FD-NoF,0.75,0.95,0.05,17
6,1079.8137239931286,0.3599379079977095,3.7394637631301806,0.033433472550615885,47848.474239557945,3000.0,2.8787037037037035,60,Transitive FD-NoF,0.75,0.95,0.05,17
7,1117.664039408867,0.37255467980295565,2.9528743539940505,0.13146964400160513,47848.474239557945,3000.0,5.638640429338103,60,Transitive FD-NoF,0.75,0.95,0.05,17
8,938.6450274181574,0.3128816758060525,2.949605806376576,0.3163241299266438,47848.474239557945,3000.0,2.964968152866242,60,Transitive FD-NoF,0.75,0.95,0.05,17
9,996.3386230468749,0.3321128743489583,2.824748986126921,0.4094469996892967,47848.474239557945,3000.0,3.3296921549155907,60,Transitive FD-NoF,0.75,0.95,0.05,17
10,1146.4249464777918,0.3821416488259306,2.891201233552077,0.4141710650774248,47848.474239557945,3000.0,1.7025862068965518,60,Transitive FD-NoF,0.75,0.95,0.05,17
11,1029.2098628925255,0.34306995429750853,2.98102713561462,0.4103148709610978,47848.474239557945,3000.0,2.1595744680851063,60,Transitive FD-NoF,0.75,0.95,0.05,17
12,946.4958564732756,0.3154986188244252,2.9126703271807655,0.405942499316826,47848.474239557945,3000.0,2.338250790305585,60,Transitive FD-NoF,0.75,0.95,0.05,17
13,1013.9999999999999,0.33799999999999997,2.946142627411327,0.4088684489485777,47848.474239557945,3000.0,1.319526627218935,60,Transitive FD-NoF,0.75,0.95,0.05,17
14,1066.557972156554,0.3555193240521846,4.356751139615749,0.41003580226517056,47848.474239557945,3000.0,2.14058106841612,60,Transitive FD-NoF,0.75,0.95,0.05,17
15,926.5920064721463,0.3088640021573821,4.532540017620961,0.3988405457867335,47848.474239557945,3000.0,3.0647249190938513,60,Transitive FD-NoF,0.75,0.95,0.05,17
16,952.3585479865028,0.3174528493288343,4.719267869763994,0.3982087949565351,47848.474239557945,3000.0,3.440041710114703,60,Transitive FD-NoF,0.75,0.95,0.05,17
17,910.5373016764464,0.3035124338921488,4.873807211418853,0.4252708708296446,47848.474239557945,3000.0,3.202407002188184,60,Transitive FD-NoF,0.75,0.95,0.05,17
18,1059.697414480418,0.3532324714934727,5.122318190759812,0.4610701200826549,47848.474239557945,3000.0,1.188608776844071,60,Transitive FD-NoF,0.75,0.95,0.05,17
19,1028.3931273144467,0.34279770910481555,5.379655347735946,0.49179152651530444,47848.474239557945,3000.0,3.322987390882638,60,Transitive FD-NoF,0.75,0.95,0.05,17
20,1039.6575804375805,0.3465525268125268,5.543045525583914,0.49496733315822666,47848.474239557945,3000.0,1.1087786259541985,60,Transitive FD-NoF,0.75,0.95,0.05,17
21,1017.8725331160988,0.33929084437203294,4.921414118039994,0.49811711864637886,47848.474239557945,3000.0,0.9539823008849557,60,Transitive FD-NoF,0.75,0.95,0.05,17
22,1087.052622837959,0.36235087427931967,5.082300482809399,0.4968292853328453,47848.474239557945,3000.0,2.729433272394881,60,Transitive FD-NoF,0.75,0.95,0.05,17
23,905.2366493155967,0.3017455497718656,5.220770357364153,0.492178820883151,47848.474239557945,3000.0,4.1410526315789475,60,Transitive FD-NoF,0.75,0.95,0.05,17
24,731.7005203271783,0.24390017344239276,5.0726969908901065,0.4931423309470822,47848.474239557945,3000.0,1.2628372497824194,60,Transitive FD-NoF,0.75,0.95,0.05,17
25,930.695652173913,0.310231884057971,5.038912568802672,0.5226040037019074,47848.474239557945,3000.0,2.356913183279743,60,Transitive FD-NoF,0.75,0.95,0.05,17
