Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,1370.0,0.45666666666666667,-0.2833333333333333,-0.4831955522462645,47370.70780988412,3000.0,2.5525547445255476,60,Transitive FD-NoF,0.75,0.95,0.05,22
2,1182.746960167715,0.3942489867225717,1.6408525771980569,-0.3010125144213375,47370.70780988412,3000.0,1.7245155855096883,60,Transitive FD-NoF,0.75,0.95,0.05,22
3,1153.9999999999998,0.3846666666666666,4.680583090931129,-0.23800829142450997,47370.70780988412,3000.0,3.4991334488734833,60,Transitive FD-NoF,0.75,0.95,0.05,22
4,1148.9999999999998,0.38299999999999995,5.718386457034033,-0.019096606277097326,47370.70780988412,3000.0,2.5735422106179286,60,Transitive FD-NoF,0.75,0.95,0.05,22
5,1169.9999999999998,0.3899999999999999,5.955949483021221,-0.011356471220849852,47370.70780988412,3000.0,1.164957264957265,60,Transitive FD-NoF,0.75,0.95,0.05,22
6,1052.4965319281112,0.3508321773093704,3.6055951231082646,0.03230416099026377,47370.70780988412,3000.0,2.8787037037037035,60,Transitive FD-NoF,0.75,0.95,0.05,22
7,1085.9854088446275,0.3619951362815425,2.9366328307701366,0.13318972220706132,47370.70780988412,3000.0,5.638640429338103,60,Transitive FD-NoF,0.75,0.95,0.05,22
8,936.2485235740619,0.312082841191354,2.937314111767669,0.3161833632776612,47370.70780988412,3000.0,2.964968152866242,60,Transitive FD-NoF,0.75,0.95,0.05,22
9,1007.0,0.33566666666666667,2.816588882253404,0.41004679669386296,47370.70780988412,3000.0,3.3296921549155907,60,Transitive FD-NoF,0.75,0.95,0.05,22
10,1143.9475409836066,0.3813158469945355,2.8827817932989293,0.4145507675008759,47370.70780988412,3000.0,1.7025862068965518,60,Transitive FD-NoF,0.75,0.95,0.05,22
11,1018.1114035087721,0.33937046783625735,2.9807639145405322,0.40963239815845864,47370.70780988412,3000.0,2.1595744680851063,60,Transitive FD-NoF,0.75,0.95,0.05,22
12,948.1724579006047,0.3160574859668682,2.905827123005737,0.4054548982760035,47370.70780988412,3000.0,2.338250790305585,60,Transitive FD-NoF,0.75,0.95,0.05,22
13,999.2742601525306,0.3330914200508435,2.9328205018925333,0.40835541876442283,47370.70780988412,3000.0,1.319526627218935,60,Transitive FD-NoF,0.75,0.95,0.05,22
14,1060.836656898657,0.353612218966219,4.29337778041251,0.4099129978422189,47370.70780988412,3000.0,2.14058106841612,60,Transitive FD-NoF,0.75,0.95,0.05,22
15,920.4628833277309,0.3068209611092436,4.473880979449763,0.3979184421187037,47370.70780988412,3000.0,3.0647249190938513,60,Transitive FD-NoF,0.75,0.95,0.05,22
16,954.2826182237084,0.31809420607456945,4.672536461326034,0.39728006868480464,47370.70780988412,3000.0,3.440041710114703,60,Transitive FD-NoF,0.75,0.95,0.05,22
17,912.9921570383644,0.30433071901278813,4.818457768148799,0.42476577191132475,47370.70780988412,3000.0,3.202407002188184,60,Transitive FD-NoF,0.75,0.95,0.05,22
18,1071.0000000000002,0.3570000000000001,5.073159415608605,0.4609255589572922,47370.70780988412,3000.0,1.188608776844071,60,Transitive FD-NoF,0.75,0.95,0.05,22
19,1031.0,0.3436666666666667,5.323495869104071,0.4917418220969611,47370.70780988412,3000.0,3.322987390882638,60,Transitive FD-NoF,0.75,0.95,0.05,22
20,1045.0,0.34833333333333333,5.492150059616484,0.4948396067407698,47370.70780988412,3000.0,1.1087786259541985,60,Transitive FD-NoF,0.75,0.95,0.05,22
21,1067.8239733784553,0.3559413244594851,4.921590422506928,0.4982029802543892,47370.70780988412,3000.0,0.9539823008849557,60,Transitive FD-NoF,0.75,0.95,0.05,22
22,1084.1203007518798,0.3613734335839599,5.048552374993956,0.49651388933609286,47370.70780988412,3000.0,2.729433272394881,60,Transitive FD-NoF,0.75,0.95,0.05,22
23,950.0,0.31666666666666665,5.144243939901093,0.4919019661904968,47370.70780988412,3000.0,4.1410526315789475,60,Transitive FD-NoF,0.75,0.95,0.05,22
24,717.1473147153599,0.23904910490511996,4.99756649093669,0.4927376657613302,47370.70780988412,3000.0,1.2628372497824194,60,Transitive FD-NoF,0.75,0.95,0.05,22
25,933.0,0.311,4.962701241370456,0.5217708604651609,47370.70780988412,3000.0,2.356913183279743,60,Transitive FD-NoF,0.75,0.95,0.05,22
26,824.5964387240085,0.2748654795746695,5.0751353542998014,0.5216738878137758,47370.70780988412,3000.0,1.8845738942826322,60,Transitive FD-NoF,0.75,0.95,0.05,22
27,921.1676986338642,0.3070558995446214,5.1404347247587925,0.5166918351413803,47370.70780988412,3000.0,2.800825593395253,60,Transitive FD-NoF,0.75,0.95,0.05,22
28,769.5357142857142,0.2565119047619047,5.249176803644199,0.5173422714625583,47370.70780988412,3000.0,2.808450704225352,60,Transitive FD-NoF,0.75,0.95,0.05,22
29,684.9089921757294,0.2283029973919098,5.311055466361868,0.5122608060633284,47370.70780988412,3000.0,8.8046783625731,60,Transitive FD-NoF,0.75,0.95,0.05,22
30,661.6462962962962,0.22054876543209873,5.380807192003856,0.5120602142600624,47370.70780988412,3000.0,2.1718426501035197,60,Transitive FD-NoF,0.75,0.95,0.05,22
31,681.0089840960727,0.2270029946986909,5.482990495633776,0.5091346130970089,47370.70780988412,3000.0,4.195694716242661,60,Transitive FD-NoF,0.75,0.95,0.05,22
32,714.4470256132759,0.2381490085377586,5.498080742794233,0.5043149212760559,47370.70780988412,3000.0,4.210698689956332,60,Transitive FD-NoF,0.75,0.95,0.05,22
33,625.1935828508408,0.20839786095028026,5.539234204930404,0.5009322248095988,47370.70780988412,3000.0,4.503378378378378,60,Transitive FD-NoF,0.75,0.95,0.05,22
34,545.7304750379463,0.18191015834598212,5.558302154206301,0.5288164755799695,47370.70780988412,3000.0,2.2396265560165975,60,Transitive FD-NoF,0.75,0.95,0.05,22
35,504.0,0.168,5.596939758263195,0.5203697625722754,47370.70780988412,3000.0,2.040498442367601,60,Transitive FD-NoF,0.75,0.95,0.05,22
36,436.75,0.14558333333333334,5.607768397966404,0.5100481451587007,47370.70780988412,3000.0,13.937759336099585,60,Transitive FD-NoF,0.75,0.95,0.05,22
37,420.5,0.14016666666666666,5.6252759086631405,0.5068626888228956,47370.70780988412,3000.0,2.4952380952380953,60,Transitive FD-NoF,0.75,0.95,0.05,22
38,315.00000000000006,0.10500000000000002,5.61595440847727,0.49679429463507635,47370.70780988412,3000.0,5.352739726027397,60,Transitive FD-NoF,0.75,0.95,0.05,22
