Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,1370.0,0.45666666666666667,-0.2833333333333333,-0.4831955522462645,48865.87622652193,3000.0,2.5525547445255476,60,Transitive FD-NoF,0.75,0.95,0.05,28
2,1187.0,0.39566666666666667,1.6599117508680339,-0.3019038604009627,48865.87622652193,3000.0,1.7245155855096883,60,Transitive FD-NoF,0.75,0.95,0.05,28
3,1150.9782986338794,0.3836594328779598,4.678614658727929,-0.23840698456070658,48865.87622652193,3000.0,3.4991334488734833,60,Transitive FD-NoF,0.75,0.95,0.05,28
4,1135.718640183346,0.37857288006111534,5.710859830371498,-0.01896554470986462,48865.87622652193,3000.0,2.5735422106179286,60,Transitive FD-NoF,0.75,0.95,0.05,28
5,1166.6216216216217,0.3888738738738739,5.936111807762194,-0.011415748990419921,48865.87622652193,3000.0,1.164957264957265,60,Transitive FD-NoF,0.75,0.95,0.05,28
6,1063.7981366459628,0.3545993788819876,3.570489373232476,0.033726389437481206,48865.87622652193,3000.0,2.8787037037037035,60,Transitive FD-NoF,0.75,0.95,0.05,28
7,1114.6832074175823,0.37156106913919407,2.92581976809283,0.1346870041743689,48865.87622652193,3000.0,5.638640429338103,60,Transitive FD-NoF,0.75,0.95,0.05,28
8,933.0100922848403,0.3110033640949468,2.9456252146175763,0.3168604970852105,48865.87622652193,3000.0,2.964968152866242,60,Transitive FD-NoF,0.75,0.95,0.05,28
9,1003.9032258064517,0.33463440860215055,2.8357785483960583,0.4105629253415043,48865.87622652193,3000.0,3.3296921549155907,60,Transitive FD-NoF,0.75,0.95,0.05,28
10,1155.7824561403509,0.3852608187134503,2.9227396820771276,0.4152253913859106,48865.87622652193,3000.0,1.7025862068965518,60,Transitive FD-NoF,0.75,0.95,0.05,28
11,1034.0000000000002,0.34466666666666673,3.016224080863741,0.41220418159978817,48865.87622652193,3000.0,2.1595744680851063,60,Transitive FD-NoF,0.75,0.95,0.05,28
12,944.811236360719,0.31493707878690635,2.9453461598527677,0.4073280075031755,48865.87622652193,3000.0,2.338250790305585,60,Transitive FD-NoF,0.75,0.95,0.05,28
