Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,2815.0,0.4691666666666667,-0.3333333333333333,-0.6666666666666666,73366.98716894859,6000.0,0.7632863340563991,60,Transitive FD-NoF,0.75,0.95,0.05,6
2,1476.0,0.246,0.16872156907525274,-0.5333333333333333,73366.98716894859,6000.0,0.4081858407079646,60,Transitive FD-NoF,0.75,0.95,0.05,6
3,3407.9999999999995,0.568,1.0560425271868048,-0.43333333333333335,73366.98716894859,6000.0,0.9670828603859251,60,Transitive FD-NoF,0.75,0.95,0.05,6
4,2411.0,0.4018333333333333,1.1885990517472131,-0.4,73366.98716894859,6000.0,0.6691645850679989,60,Transitive FD-NoF,0.75,0.95,0.05,6
5,792.0,0.132,1.5647825440418572,-0.3333333333333333,73366.98716894859,6000.0,0.22006112809113643,60,Transitive FD-NoF,0.75,0.95,0.05,6
6,2527.0,0.4211666666666667,3.4327081854943446,-0.3,73366.98716894859,6000.0,0.7224128073184677,60,Transitive FD-NoF,0.75,0.95,0.05,6
7,3272.0,0.5453333333333333,4.50407448964515,-0.2724172417241724,73366.98716894859,6000.0,1.6455995274660367,60,Transitive FD-NoF,0.75,0.95,0.05,6
8,2050.0,0.3416666666666667,3.1679169894680044,-0.23908390839083904,73366.98716894859,6000.0,0.6408252578930916,60,Transitive FD-NoF,0.75,0.95,0.05,6
9,2776.0,0.46266666666666667,2.4086632228691744,-0.1724172417241724,73366.98716894859,6000.0,0.8093294460641399,60,Transitive FD-NoF,0.75,0.95,0.05,6
10,1495.0000000000002,0.2491666666666667,2.2598020933944127,-0.1724172417241724,73366.98716894859,6000.0,0.40625,60,Transitive FD-NoF,0.75,0.95,0.05,6
11,1605.0,0.2675,2.3507100733596915,-0.1390839083908391,73366.98716894859,6000.0,0.47122724603640637,60,Transitive FD-NoF,0.75,0.95,0.05,6
12,1595.0,0.2658333333333333,2.3816379811582853,-0.1390839083908391,73366.98716894859,6000.0,0.47969924812030074,60,Transitive FD-NoF,0.75,0.95,0.05,6
13,695.0,0.11583333333333333,2.437583361585337,-0.03908390839083908,73366.98716894859,6000.0,0.20617027588252743,60,Transitive FD-NoF,0.75,0.95,0.05,6
14,1670.0,0.2783333333333333,2.26062415141267,-0.005750575057505743,73366.98716894859,6000.0,0.48363741673906746,60,Transitive FD-NoF,0.75,0.95,0.05,6
15,1961.0,0.3268333333333333,2.3791849377082186,-0.005750575057505743,73366.98716894859,6000.0,0.6435838529701345,60,Transitive FD-NoF,0.75,0.95,0.05,6
16,2633.0,0.43883333333333335,2.4220028359006442,0.027434010524340115,73366.98716894859,6000.0,0.802158273381295,60,Transitive FD-NoF,0.75,0.95,0.05,6
17,2093.0,0.34883333333333333,2.4883979268927354,0.02745159673361188,73366.98716894859,6000.0,0.6795454545454546,60,Transitive FD-NoF,0.75,0.95,0.05,6
18,545.0,0.09083333333333334,2.5106588801214267,0.060786659305265923,73366.98716894859,6000.0,0.1630272210589291,60,Transitive FD-NoF,0.75,0.95,0.05,6
19,2758.0,0.45966666666666667,2.625726294603881,0.06079347969014182,73366.98716894859,6000.0,0.8201011002081475,60,Transitive FD-NoF,0.75,0.95,0.05,6
20,628.9999999999999,0.10483333333333332,2.6261910852466857,0.060798257563342666,73366.98716894859,6000.0,0.17894736842105263,60,Transitive FD-NoF,0.75,0.95,0.05,6
21,506.99999999999994,0.08449999999999999,2.6265489711926913,0.06080191817174389,73366.98716894859,6000.0,0.1424557459960663,60,Transitive FD-NoF,0.75,0.95,0.05,6
22,2462.0,0.4103333333333333,2.6965025970085095,0.0608020816399171,73366.98716894859,6000.0,0.6896358543417367,60,Transitive FD-NoF,0.75,0.95,0.05,6
23,2085.489197530864,0.3475815329218107,2.66934800290751,0.054614454760727786,73366.98716894859,6000.0,0.9950693374422188,60,Transitive FD-NoF,0.75,0.95,0.05,6
24,618.75,0.103125,2.6441249692337907,0.053914607618252175,73366.98716894859,6000.0,0.2542841348811498,60,Transitive FD-NoF,0.75,0.95,0.05,6
25,1371.0,0.2285,2.6498346818609746,0.08727037717242175,73366.98716894859,6000.0,0.44154589371980674,60,Transitive FD-NoF,0.75,0.95,0.05,6
26,983.0,0.16383333333333333,2.650018685585287,0.08776903501486513,73366.98716894859,6000.0,0.3107809042048688,60,Transitive FD-NoF,0.75,0.95,0.05,6
27,1470.5,0.24508333333333332,2.550353613324395,0.12027451283980158,73366.98716894859,6000.0,0.6003184713375797,60,Transitive FD-NoF,0.75,0.95,0.05,6
28,1614.6666666666665,0.2691111111111111,2.6151678517703347,0.11903656806439723,73366.98716894859,6000.0,0.6824364281490243,60,Transitive FD-NoF,0.75,0.95,0.05,6
29,1229.6666666666667,0.20494444444444446,2.5981629396424397,0.10810361598948268,73366.98716894859,6000.0,2.246775288526816,60,Transitive FD-NoF,0.75,0.95,0.05,6
30,570.1666666666667,0.0950277777777778,2.6080169655455228,0.10668913734484248,73366.98716894859,6000.0,0.41987577639751555,60,Transitive FD-NoF,0.75,0.95,0.05,6
31,1413.4359375,0.23557265624999998,2.6490212010833476,0.10357174852657489,73366.98716894859,6000.0,1.0800481492627143,60,Transitive FD-NoF,0.75,0.95,0.05,6
32,1793.892857142857,0.29898214285714286,2.69282477446478,0.13358004721981018,73366.98716894859,6000.0,0.9799932180400136,60,Transitive FD-NoF,0.75,0.95,0.05,6
33,1624.0833333333333,0.27068055555555554,2.7237397269391597,0.12860090771525542,73366.98716894859,6000.0,1.0368281353682813,60,Transitive FD-NoF,0.75,0.95,0.05,6
34,931.75,0.15529166666666666,2.742405107443692,0.16160029943046794,73366.98716894859,6000.0,0.41792970009674296,60,Transitive FD-NoF,0.75,0.95,0.05,6
35,686.5999999999999,0.11443333333333332,2.7387095854099033,0.16117147325511558,73366.98716894859,6000.0,0.3455617425483131,60,Transitive FD-NoF,0.75,0.95,0.05,6
36,1242.0,0.207,2.7517734191079364,0.1474149620388481,73366.98716894859,6000.0,4.1374627360053,60,Transitive FD-NoF,0.75,0.95,0.05,6
37,524.0,0.08733333333333333,2.7621044906020513,0.17985988327416808,73366.98716894859,6000.0,0.486905916585839,60,Transitive FD-NoF,0.75,0.95,0.05,6
38,825.0,0.1375,2.7573286326056192,0.2052540932303356,73366.98716894859,6000.0,1.2808290155440414,60,Transitive FD-NoF,0.75,0.95,0.05,6
39,742.0,0.12366666666666666,2.7546688858611503,0.202655146445489,73366.98716894859,6000.0,0.766016713091922,60,Transitive FD-NoF,0.75,0.95,0.05,6
40,579.0,0.0965,2.745661982933739,0.200832717961853,73366.98716894859,6000.0,0.43842530282637954,60,Transitive FD-NoF,0.75,0.95,0.05,6
41,622.0,0.10366666666666667,2.7075311401413225,0.20094202085763102,73366.98716894859,6000.0,0.2378129117259552,60,Transitive FD-NoF,0.75,0.95,0.05,6
