1#162637.9666567229
10#164062.63139843615
11#164164.04859207151
12#165030.81704545455
13#161986.70236405652
14#164816.78570386788
15#162579.17130869706
16#160399.20440283482
17#161331.69680082193
18#162161.92697018257
19#162875.70473475597
2#162336.6778953557
20#164202.46246247576
21#162607.87917695724
22#164701.35605224583
23#162252.61645299144
24#162437.37712338593
25#161194.0443753584
26#160198.64193503253
27#163116.4946768509
28#163596.2394624049
29#163035.59258407744
3#160299.13946197944
30#162991.60862077738
4#162904.55672799426
5#163077.37156788117
6#163053.4760949386
7#162773.81506726338
8#160809.826253467
9#161143.22162084826
