1#105998.05743276591
10#105068.99276046758
11#105061.56962701671
12#103535.35284774879
13#105122.82577681686
14#103763.49754627034
15#103205.39268912078
16#105425.13498836732
17#105123.31982571792
18#105451.39988338198
19#104178.63211323583
2#104675.9324457086
20#104562.8747494702
21#104135.41422223028
22#105443.56917457018
23#104803.7184911955
24#105377.5950533218
25#103589.9546583418
26#105165.48118021879
27#104911.13037822623
28#103816.47567614402
29#104363.51854271285
3#104341.1247307821
30#104920.80662524245
4#104645.29850386968
5#104961.23314545027
6#103730.8389149619
7#105631.93205503032
8#102816.26966813291
9#104606.06464294539
