1#160149.32589432178
10#159956.09636021967
11#162629.47952522011
12#158113.78749588376
13#160024.9403934337
14#161428.40200023737
15#162813.18047150067
16#162738.15323272406
17#159657.08861246778
18#160328.60439128097
19#159554.79192218703
2#163147.1761890851
20#160963.1987276793
21#159766.28574893935
22#161440.13876601713
23#160296.20087505088
24#160410.3736845446
25#159167.72690957197
26#158578.05122561852
27#160588.65107129235
28#159164.7051894402
29#162348.75802788758
3#160750.99015146526
30#160835.0525761271
4#161155.83242038265
5#162381.4729335672
6#163756.64935893807
7#162458.6335617119
8#161628.14931547618
9#164002.02152018502
