Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,2815.0,0.4691666666666667,-0.31666666666666665,-0.6666666666666666,72306.85258041086,6000.0,0.7632863340563991,60,Transitive FD-NoF,0.75,0.95,0.05,27
2,1476.0000000000002,0.24600000000000002,0.15992527277895588,-0.5333333333333333,72306.85258041086,6000.0,0.4081858407079646,60,Transitive FD-NoF,0.75,0.95,0.05,27
3,3407.999999999999,0.5679999999999998,1.0143994198069926,-0.43333333333333335,72306.85258041086,6000.0,0.9670828603859251,60,Transitive FD-NoF,0.75,0.95,0.05,27
4,2411.0,0.4018333333333333,1.2849662917477913,-0.4,72306.85258041086,6000.0,0.6691645850679989,60,Transitive FD-NoF,0.75,0.95,0.05,27
5,792.0,0.132,2.247614680712262,-0.3333333333333333,72306.85258041086,6000.0,0.22006112809113643,60,Transitive FD-NoF,0.75,0.95,0.05,27
6,2527.0000000000005,0.42116666666666674,2.4684647429253124,-0.3,72306.85258041086,6000.0,0.7224128073184677,60,Transitive FD-NoF,0.75,0.95,0.05,27
7,3295.0,0.5491666666666667,2.4490843254142622,-0.27235973597359736,72306.85258041086,6000.0,1.6455995274660367,60,Transitive FD-NoF,0.75,0.95,0.05,27
8,2050.0,0.3416666666666667,2.456845923119922,-0.23902640264026404,72306.85258041086,6000.0,0.6408252578930916,60,Transitive FD-NoF,0.75,0.95,0.05,27
9,2776.0,0.46266666666666667,2.741636635070182,-0.17235973597359736,72306.85258041086,6000.0,0.8093294460641399,60,Transitive FD-NoF,0.75,0.95,0.05,27
10,1495.0,0.24916666666666668,2.8119925172860074,-0.17235973597359736,72306.85258041086,6000.0,0.40625,60,Transitive FD-NoF,0.75,0.95,0.05,27
11,1605.0,0.2675,2.9337622779069865,-0.13902640264026403,72306.85258041086,6000.0,0.47122724603640637,60,Transitive FD-NoF,0.75,0.95,0.05,27
12,1595.0,0.2658333333333333,3.092179381755023,-0.13902640264026403,72306.85258041086,6000.0,0.47969924812030074,60,Transitive FD-NoF,0.75,0.95,0.05,27
13,695.0,0.11583333333333333,3.2038029834112147,-0.039026402640264024,72306.85258041086,6000.0,0.20617027588252743,60,Transitive FD-NoF,0.75,0.95,0.05,27
14,1670.0,0.2783333333333333,2.9046693063812703,-0.00569306930693069,72306.85258041086,6000.0,0.48363741673906746,60,Transitive FD-NoF,0.75,0.95,0.05,27
15,1961.0,0.3268333333333333,2.9159718686924228,-0.00569306930693069,72306.85258041086,6000.0,0.6435838529701345,60,Transitive FD-NoF,0.75,0.95,0.05,27
16,2676.0,0.446,3.0190532171017357,0.02764026402640264,72306.85258041086,6000.0,0.802158273381295,60,Transitive FD-NoF,0.75,0.95,0.05,27
17,2093.0000000000005,0.3488333333333334,3.082704079955513,0.027640264026402645,72306.85258041086,6000.0,0.6795454545454546,60,Transitive FD-NoF,0.75,0.95,0.05,27
18,545.0,0.09083333333333334,3.119658744394223,0.060973597359735975,72306.85258041086,6000.0,0.1630272210589291,60,Transitive FD-NoF,0.75,0.95,0.05,27
19,2758.0,0.45966666666666667,3.085922944671432,0.060973597359735975,72306.85258041086,6000.0,0.8201011002081475,60,Transitive FD-NoF,0.75,0.95,0.05,27
20,629.0000000000001,0.10483333333333335,3.105365560480362,0.060973597359735975,72306.85258041086,6000.0,0.17894736842105263,60,Transitive FD-NoF,0.75,0.95,0.05,27
21,507.00000000000006,0.0845,3.062076249704175,0.060973597359735975,72306.85258041086,6000.0,0.1424557459960663,60,Transitive FD-NoF,0.75,0.95,0.05,27
