Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,2815.0,0.4691666666666667,-0.3333333333333333,-0.6666666666666666,75252.14539824775,6000.0,0.7632863340563991,60,Transitive FD-NoF,0.75,0.95,0.05,6
2,1476.0,0.246,0.16872156907525274,-0.5333333333333333,75252.14539824775,6000.0,0.4081858407079646,60,Transitive FD-NoF,0.75,0.95,0.05,6
3,3408.0,0.568,1.0560425271868048,-0.43333333333333335,75252.14539824775,6000.0,0.9670828603859251,60,Transitive FD-NoF,0.75,0.95,0.05,6
4,2411.0,0.4018333333333333,1.1885990517472131,-0.4,75252.14539824775,6000.0,0.6691645850679989,60,Transitive FD-NoF,0.75,0.95,0.05,6
5,792.0,0.132,1.5647825440418572,-0.3333333333333333,75252.14539824775,6000.0,0.22006112809113643,60,Transitive FD-NoF,0.75,0.95,0.05,6
6,2527.0,0.4211666666666667,3.4327081854943438,-0.3,75252.14539824775,6000.0,0.7224128073184677,60,Transitive FD-NoF,0.75,0.95,0.05,6
7,3280.0,0.5466666666666666,4.506573995928141,-0.27239723972397234,75252.14539824775,6000.0,1.6455995274660367,60,Transitive FD-NoF,0.75,0.95,0.05,6
8,2050.0,0.3416666666666667,3.167461668300172,-0.23906390639063904,75252.14539824775,6000.0,0.6408252578930916,60,Transitive FD-NoF,0.75,0.95,0.05,6
9,2776.0000000000005,0.4626666666666667,2.407508955387904,-0.17239723972397236,75252.14539824775,6000.0,0.8093294460641399,60,Transitive FD-NoF,0.75,0.95,0.05,6
10,1495.0000000000002,0.2491666666666667,2.256960747986349,-0.17239723972397236,75252.14539824775,6000.0,0.40625,60,Transitive FD-NoF,0.75,0.95,0.05,6
11,1605.0,0.2675,2.3467512658313234,-0.13906390639063906,75252.14539824775,6000.0,0.47122724603640637,60,Transitive FD-NoF,0.75,0.95,0.05,6
12,1595.0,0.2658333333333333,2.378954745838404,-0.13906390639063906,75252.14539824775,6000.0,0.47969924812030074,60,Transitive FD-NoF,0.75,0.95,0.05,6
13,694.9999999999999,0.11583333333333332,2.4338304163053013,-0.03906390639063906,75252.14539824775,6000.0,0.20617027588252743,60,Transitive FD-NoF,0.75,0.95,0.05,6
14,1670.0,0.2783333333333333,2.258135374876396,-0.0057305730573057245,75252.14539824775,6000.0,0.48363741673906746,60,Transitive FD-NoF,0.75,0.95,0.05,6
