Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,2815.000000000001,0.46916666666666684,-0.36666666666666664,-0.6666666666666666,73862.18294613616,6000.0,0.7632863340563991,60,Transitive FD-NoF,0.75,0.95,0.05,20
2,1475.9999999999998,0.24599999999999997,0.3430910894622181,-0.5333333333333333,73862.18294613616,6000.0,0.4081858407079646,60,Transitive FD-NoF,0.75,0.95,0.05,20
3,3407.9999999999995,0.568,0.8433605083742789,-0.43333333333333335,73862.18294613616,6000.0,0.9670828603859251,60,Transitive FD-NoF,0.75,0.95,0.05,20
4,2411.0,0.4018333333333333,1.3734017875124032,-0.4,73862.18294613616,6000.0,0.6691645850679989,60,Transitive FD-NoF,0.75,0.95,0.05,20
5,792.0,0.132,1.4567259784253155,-0.3333333333333333,73862.18294613616,6000.0,0.22006112809113643,60,Transitive FD-NoF,0.75,0.95,0.05,20
6,2527.0,0.4211666666666667,2.2579775895460736,-0.3,73862.18294613616,6000.0,0.7224128073184677,60,Transitive FD-NoF,0.75,0.95,0.05,20
7,3260.0,0.5433333333333333,3.0753486829490253,-0.27244724472447246,73862.18294613616,6000.0,1.6455995274660367,60,Transitive FD-NoF,0.75,0.95,0.05,20
8,2050.0,0.3416666666666667,3.0306051951123916,-0.23911391139113913,73862.18294613616,6000.0,0.6408252578930916,60,Transitive FD-NoF,0.75,0.95,0.05,20
9,2776.0,0.46266666666666667,2.9874239407644505,-0.17244724472447245,73862.18294613616,6000.0,0.8093294460641399,60,Transitive FD-NoF,0.75,0.95,0.05,20
10,1495.0,0.24916666666666668,3.1059928932418486,-0.17244724472447245,73862.18294613616,6000.0,0.40625,60,Transitive FD-NoF,0.75,0.95,0.05,20
11,1605.0000000000002,0.2675,3.239648426304693,-0.13911391139113913,73862.18294613616,6000.0,0.47122724603640637,60,Transitive FD-NoF,0.75,0.95,0.05,20
12,1595.0000000000002,0.26583333333333337,2.875286039108235,-0.13911391139113913,73862.18294613616,6000.0,0.47969924812030074,60,Transitive FD-NoF,0.75,0.95,0.05,20
13,695.0,0.11583333333333333,2.96561450425915,-0.039113911391139136,73862.18294613616,6000.0,0.20617027588252743,60,Transitive FD-NoF,0.75,0.95,0.05,20
14,1669.9999999999998,0.2783333333333333,2.9317909164229916,-0.005780578057805796,73862.18294613616,6000.0,0.48363741673906746,60,Transitive FD-NoF,0.75,0.95,0.05,20
15,1961.0,0.3268333333333333,2.9606907345718767,-0.005780578057805796,73862.18294613616,6000.0,0.6435838529701345,60,Transitive FD-NoF,0.75,0.95,0.05,20
16,2523.0,0.4205,2.706244830525241,0.027023490020234884,73862.18294613616,6000.0,0.802158273381295,60,Transitive FD-NoF,0.75,0.95,0.05,20
17,2093.0,0.34883333333333333,2.6701929990329045,0.027086064206713476,73862.18294613616,6000.0,0.6795454545454546,60,Transitive FD-NoF,0.75,0.95,0.05,20
18,545.0,0.09083333333333334,2.692536544017822,0.06042555041128095,73862.18294613616,6000.0,0.1630272210589291,60,Transitive FD-NoF,0.75,0.95,0.05,20
19,2757.9999999999995,0.4596666666666666,2.7533682960252395,0.06044981829235103,73862.18294613616,6000.0,0.8201011002081475,60,Transitive FD-NoF,0.75,0.95,0.05,20
20,629.0,0.10483333333333333,2.7539796882435086,0.0604668186318796,73862.18294613616,6000.0,0.17894736842105263,60,Transitive FD-NoF,0.75,0.95,0.05,20
21,507.0,0.0845,2.7844589784103397,0.060479843587353775,73862.18294613616,6000.0,0.1424557459960663,60,Transitive FD-NoF,0.75,0.95,0.05,20
22,2369.31234375,0.394885390625,2.8107279831480145,0.0602529150280335,73862.18294613616,6000.0,0.6896358543417367,60,Transitive FD-NoF,0.75,0.95,0.05,20
23,1939.7055555555557,0.3232842592592593,2.764445061485799,0.05262577922725228,73862.18294613616,6000.0,0.9950693374422188,60,Transitive FD-NoF,0.75,0.95,0.05,20
24,876.0,0.146,2.654978818193348,0.052767566851779364,73862.18294613616,6000.0,0.2542841348811498,60,Transitive FD-NoF,0.75,0.95,0.05,20
25,1371.0,0.2285,2.586421620603952,0.0861327064493076,73862.18294613616,6000.0,0.44154589371980674,60,Transitive FD-NoF,0.75,0.95,0.05,20
26,982.9999999999999,0.1638333333333333,2.5249547966746357,0.08688628934307326,73862.18294613616,6000.0,0.3107809042048688,60,Transitive FD-NoF,0.75,0.95,0.05,20
27,1209.0,0.2015,2.4559182558171817,0.11886902237945576,73862.18294613616,6000.0,0.6003184713375797,60,Transitive FD-NoF,0.75,0.95,0.05,20
28,1668.25,0.2780416666666667,2.5116604685168937,0.11790936240230021,73862.18294613616,6000.0,0.6824364281490243,60,Transitive FD-NoF,0.75,0.95,0.05,20
29,1165.0,0.19416666666666665,2.498219971948645,0.10799228651620367,73862.18294613616,6000.0,2.246775288526816,60,Transitive FD-NoF,0.75,0.95,0.05,20
30,1027.0,0.17116666666666666,2.513948434294578,0.10763250651598351,73862.18294613616,6000.0,0.41987577639751555,60,Transitive FD-NoF,0.75,0.95,0.05,20
31,1469.2833333333333,0.24488055555555555,2.532610937334276,0.1044933932790256,73862.18294613616,6000.0,1.0800481492627143,60,Transitive FD-NoF,0.75,0.95,0.05,20
