Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,1370.0,0.45666666666666667,-0.2833333333333333,-0.4831955522462645,50779.00517500096,3000.0,2.5525547445255476,60,Transitive FD-NoF,0.75,0.95,0.05,28
2,1187.0000000000002,0.3956666666666667,1.6534711605224601,-0.3016918452009079,50779.00517500096,3000.0,1.7245155855096883,60,Transitive FD-NoF,0.75,0.95,0.05,28
3,1154.0000000000005,0.3846666666666668,4.664329477475198,-0.2383536982147629,50779.00517500096,3000.0,3.4991334488734833,60,Transitive FD-NoF,0.75,0.95,0.05,28
4,1105.5681300343358,0.36852271001144526,5.776821232710302,-0.019436942198776164,50779.00517500096,3000.0,2.5735422106179286,60,Transitive FD-NoF,0.75,0.95,0.05,28
5,1164.3133254321267,0.3881044418107089,5.998054333067797,-0.011798872300747354,50779.00517500096,3000.0,1.164957264957265,60,Transitive FD-NoF,0.75,0.95,0.05,28
6,1079.1211797497804,0.35970705991659346,3.725265268758917,0.03159569372393514,50779.00517500096,3000.0,2.8787037037037035,60,Transitive FD-NoF,0.75,0.95,0.05,28
7,1106.850767979176,0.36895025599305864,2.990138878619035,0.13305851255071896,50779.00517500096,3000.0,5.638640429338103,60,Transitive FD-NoF,0.75,0.95,0.05,28
8,936.7481992833195,0.3122493997611065,2.993186794468224,0.31528680846647666,50779.00517500096,3000.0,2.964968152866242,60,Transitive FD-NoF,0.75,0.95,0.05,28
9,996.2183286409397,0.33207277621364656,2.8671355889556414,0.4067734432009859,50779.00517500096,3000.0,3.3296921549155907,60,Transitive FD-NoF,0.75,0.95,0.05,28
10,1134.571481829618,0.37819049394320603,2.9470417480607116,0.4109838424142737,50779.00517500096,3000.0,1.7025862068965518,60,Transitive FD-NoF,0.75,0.95,0.05,28
11,1009.6589716848549,0.3365529905616183,3.0304251802191247,0.40611898804078983,50779.00517500096,3000.0,2.1595744680851063,60,Transitive FD-NoF,0.75,0.95,0.05,28
12,932.2609398834472,0.31075364662781574,2.9804595516199073,0.40212147278998567,50779.00517500096,3000.0,2.338250790305585,60,Transitive FD-NoF,0.75,0.95,0.05,28
13,1006.5811631081308,0.3355270543693769,2.999310166207543,0.4056626153067826,50779.00517500096,3000.0,1.319526627218935,60,Transitive FD-NoF,0.75,0.95,0.05,28
14,1061.0405502462932,0.35368018341543106,4.374193377182468,0.4055412922990897,50779.00517500096,3000.0,2.14058106841612,60,Transitive FD-NoF,0.75,0.95,0.05,28
