Seed,Ganho,C,k,n
5,27.22,C=100,k=5,n=60
6,24.82,C=100,k=5,n=60
7,20.77,C=100,k=5,n=60
8,29.20,C=100,k=5,n=60
9,26.17,C=100,k=5,n=60
10,25.62,C=100,k=5,n=60
11,26.18,C=100,k=5,n=60
12,23.23,C=100,k=5,n=60
13,27.49,C=100,k=5,n=60
14,22.34,C=100,k=5,n=60
15,25.69,C=100,k=5,n=60
16,31.71,C=100,k=5,n=60
17,26.33,C=100,k=5,n=60
18,25.87,C=100,k=5,n=60
19,26.56,C=100,k=5,n=60
20,31.97,C=100,k=5,n=60
21,22.49,C=100,k=5,n=60
22,26.68,C=100,k=5,n=60
23,27.77,C=100,k=5,n=60
24,24.52,C=100,k=5,n=60
25,28.61,C=100,k=5,n=60
26,27.39,C=100,k=5,n=60
27,25.47,C=100,k=5,n=60
28,29.35,C=100,k=5,n=60
29,24.85,C=100,k=5,n=60
30,27.97,C=100,k=5,n=60
1,0.78,C=50,k=3,n=20
2,0.76,C=50,k=3,n=20
3,-0.88,C=50,k=3,n=20
4,-0.65,C=50,k=3,n=20
5,1.09,C=50,k=3,n=20
6,-0.29,C=50,k=3,n=20
7,0.62,C=50,k=3,n=20
8,-0.60,C=50,k=3,n=20
9,-1.38,C=50,k=3,n=20
10,-0.06,C=50,k=3,n=20
11,0.01,C=50,k=3,n=20
12,0.26,C=50,k=3,n=20
13,0.09,C=50,k=3,n=20
14,0.34,C=50,k=3,n=20
15,0.58,C=50,k=3,n=20
16,-0.15,C=50,k=3,n=20
17,1.29,C=50,k=3,n=20
18,0.00,C=50,k=3,n=20
19,-0.23,C=50,k=3,n=20
20,-0.37,C=50,k=3,n=20
21,0.39,C=50,k=3,n=20
22,-1.10,C=50,k=3,n=20
23,1.32,C=50,k=3,n=20
24,1.09,C=50,k=3,n=20
25,-0.89,C=50,k=3,n=20
26,1.21,C=50,k=3,n=20
27,-0.59,C=50,k=3,n=20
28,0.42,C=50,k=3,n=20
29,0.07,C=50,k=3,n=20
30,0.35,C=50,k=3,n=20
1,0.39,C=100,k=3,n=20
2,0.44,C=100,k=3,n=20
3,2.54,C=100,k=3,n=20
4,1.17,C=100,k=3,n=20
5,1.04,C=100,k=3,n=20
6,1.50,C=100,k=3,n=20
7,-0.34,C=100,k=3,n=20
8,0.52,C=100,k=3,n=20
9,1.17,C=100,k=3,n=20
10,0.47,C=100,k=3,n=20
11,1.31,C=100,k=3,n=20
12,-3.18,C=100,k=3,n=20
13,0.79,C=100,k=3,n=20
14,0.46,C=100,k=3,n=20
15,0.97,C=100,k=3,n=20
16,0.91,C=100,k=3,n=20
17,0.56,C=100,k=3,n=20
18,0.28,C=100,k=3,n=20
19,-0.09,C=100,k=3,n=20
20,0.03,C=100,k=3,n=20
21,-0.93,C=100,k=3,n=20
22,2.09,C=100,k=3,n=20
23,1.18,C=100,k=3,n=20
24,0.19,C=100,k=3,n=20
25,0.71,C=100,k=3,n=20
26,-1.03,C=100,k=3,n=20
27,0.04,C=100,k=3,n=20
28,-1.11,C=100,k=3,n=20
29,1.10,C=100,k=3,n=20
30,0.34,C=100,k=3,n=20
1,6.65,C=50,k=4,n=20
2,8.10,C=50,k=4,n=20
3,4.50,C=50,k=4,n=20
4,5.38,C=50,k=4,n=20
5,5.44,C=50,k=4,n=20
6,6.17,C=50,k=4,n=20
7,5.06,C=50,k=4,n=20
8,6.89,C=50,k=4,n=20
9,4.34,C=50,k=4,n=20
10,6.43,C=50,k=4,n=20
11,4.32,C=50,k=4,n=20
12,8.31,C=50,k=4,n=20
13,6.99,C=50,k=4,n=20
14,8.71,C=50,k=4,n=20
15,8.61,C=50,k=4,n=20
16,3.83,C=50,k=4,n=20
17,6.93,C=50,k=4,n=20
18,5.13,C=50,k=4,n=20
19,7.51,C=50,k=4,n=20
20,5.62,C=50,k=4,n=20
21,5.48,C=50,k=4,n=20
22,3.67,C=50,k=4,n=20
23,5.98,C=50,k=4,n=20
24,7.22,C=50,k=4,n=20
25,5.68,C=50,k=4,n=20
26,4.91,C=50,k=4,n=20
27,5.40,C=50,k=4,n=20
28,6.34,C=50,k=4,n=20
29,5.50,C=50,k=4,n=20
30,5.62,C=50,k=4,n=20
1,6.33,C=100,k=4,n=20
2,2.31,C=100,k=4,n=20
3,7.44,C=100,k=4,n=20
4,6.82,C=100,k=4,n=20
5,4.88,C=100,k=4,n=20
6,4.68,C=100,k=4,n=20
7,3.44,C=100,k=4,n=20
8,4.41,C=100,k=4,n=20
9,3.63,C=100,k=4,n=20
10,6.46,C=100,k=4,n=20
11,5.49,C=100,k=4,n=20
12,1.94,C=100,k=4,n=20
13,5.72,C=100,k=4,n=20
14,2.86,C=100,k=4,n=20
15,3.49,C=100,k=4,n=20
16,3.59,C=100,k=4,n=20
17,4.40,C=100,k=4,n=20
18,5.21,C=100,k=4,n=20
19,6.24,C=100,k=4,n=20
20,5.35,C=100,k=4,n=20
21,3.69,C=100,k=4,n=20
22,5.28,C=100,k=4,n=20
23,7.19,C=100,k=4,n=20
24,4.78,C=100,k=4,n=20
25,7.13,C=100,k=4,n=20
26,5.56,C=100,k=4,n=20
27,6.29,C=100,k=4,n=20
28,5.41,C=100,k=4,n=20
29,4.42,C=100,k=4,n=20
30,4.85,C=100,k=4,n=20
1,6.99,C=50,k=5,n=20
2,8.30,C=50,k=5,n=20
3,6.89,C=50,k=5,n=20
4,7.61,C=50,k=5,n=20
5,8.42,C=50,k=5,n=20
6,8.27,C=50,k=5,n=20
7,5.33,C=50,k=5,n=20
8,7.95,C=50,k=5,n=20
9,6.18,C=50,k=5,n=20
10,8.69,C=50,k=5,n=20
11,6.43,C=50,k=5,n=20
12,7.95,C=50,k=5,n=20
13,6.73,C=50,k=5,n=20
14,9.49,C=50,k=5,n=20
15,10.01,C=50,k=5,n=20
16,6.88,C=50,k=5,n=20
17,7.29,C=50,k=5,n=20
18,6.32,C=50,k=5,n=20
19,7.85,C=50,k=5,n=20
20,6.88,C=50,k=5,n=20
21,8.20,C=50,k=5,n=20
22,5.53,C=50,k=5,n=20
23,8.24,C=50,k=5,n=20
24,7.37,C=50,k=5,n=20
25,6.68,C=50,k=5,n=20
26,8.12,C=50,k=5,n=20
27,7.41,C=50,k=5,n=20
28,8.80,C=50,k=5,n=20
29,8.55,C=50,k=5,n=20
30,6.71,C=50,k=5,n=20
1,9.92,C=100,k=5,n=20
2,5.21,C=100,k=5,n=20
3,6.46,C=100,k=5,n=20
4,6.74,C=100,k=5,n=20
5,9.55,C=100,k=5,n=20
6,6.05,C=100,k=5,n=20
7,4.12,C=100,k=5,n=20
8,7.64,C=100,k=5,n=20
9,4.89,C=100,k=5,n=20
10,8.45,C=100,k=5,n=20
11,7.60,C=100,k=5,n=20
12,5.05,C=100,k=5,n=20
13,6.24,C=100,k=5,n=20
14,6.69,C=100,k=5,n=20
15,6.70,C=100,k=5,n=20
16,5.99,C=100,k=5,n=20
17,9.13,C=100,k=5,n=20
18,6.50,C=100,k=5,n=20
19,6.27,C=100,k=5,n=20
20,5.47,C=100,k=5,n=20
21,5.99,C=100,k=5,n=20
22,10.29,C=100,k=5,n=20
23,7.14,C=100,k=5,n=20
24,5.86,C=100,k=5,n=20
25,8.48,C=100,k=5,n=20
26,4.77,C=100,k=5,n=20
27,6.53,C=100,k=5,n=20
