Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,1370.0,0.45666666666666667,-0.2833333333333333,-0.4831955522462644,44456.560239386556,3000.0,2.5525547445255476,60,Transitive FD-NoF,0.75,0.95,0.05,5
2,1187.0,0.39566666666666667,1.6192165704665695,-0.3009033284858141,44456.560239386556,3000.0,1.7245155855096883,60,Transitive FD-NoF,0.75,0.95,0.05,5
3,1154.0,0.38466666666666666,4.690963254655637,-0.23798215708810566,44456.560239386556,3000.0,3.4991334488734833,60,Transitive FD-NoF,0.75,0.95,0.05,5
4,1149.0,0.383,5.673788283083396,-0.01695944928470263,44456.560239386556,3000.0,2.5735422106179286,60,Transitive FD-NoF,0.75,0.95,0.05,5
5,1170.0,0.39,5.912444785288129,-0.009934564905157815,44456.560239386556,3000.0,1.164957264957265,60,Transitive FD-NoF,0.75,0.95,0.05,5
6,1080.0,0.36,3.570602761002442,0.03344801320713152,44456.560239386556,3000.0,2.8787037037037035,60,Transitive FD-NoF,0.75,0.95,0.05,5
7,1118.0,0.37266666666666665,2.9030977273692753,0.1344264131391638,44456.560239386556,3000.0,5.638640429338103,60,Transitive FD-NoF,0.75,0.95,0.05,5
8,942.0,0.314,2.9327640372736847,0.31620849818890623,44456.560239386556,3000.0,2.964968152866242,60,Transitive FD-NoF,0.75,0.95,0.05,5
9,1007.0,0.33566666666666667,2.80258652978913,0.4128090341439346,44456.560239386556,3000.0,3.3296921549155907,60,Transitive FD-NoF,0.75,0.95,0.05,5
10,1160.0,0.38666666666666666,2.890199391847539,0.4163511801118307,44456.560239386556,3000.0,1.7025862068965518,60,Transitive FD-NoF,0.75,0.95,0.05,5
11,1034.0,0.3446666666666667,2.975029085008719,0.4113193066780329,44456.560239386556,3000.0,2.1595744680851063,60,Transitive FD-NoF,0.75,0.95,0.05,5
12,934.4736842105266,0.31149122807017554,2.9034232424186617,0.40682335833002464,44456.560239386556,3000.0,2.338250790305585,60,Transitive FD-NoF,0.75,0.95,0.05,5
13,1014.0,0.338,2.9306605415604223,0.4101075079545858,44456.560239386556,3000.0,1.319526627218935,60,Transitive FD-NoF,0.75,0.95,0.05,5
14,1042.871794871795,0.3476239316239316,4.181516881502735,0.4112369745689026,44456.560239386556,3000.0,2.14058106841612,60,Transitive FD-NoF,0.75,0.95,0.05,5
15,912.9050505050509,0.30430168350168363,4.3521824448939785,0.40051140351058173,44456.560239386556,3000.0,3.0647249190938513,60,Transitive FD-NoF,0.75,0.95,0.05,5
16,959.0,0.31966666666666665,4.538124700300648,0.3997212690178227,44456.560239386556,3000.0,3.440041710114703,60,Transitive FD-NoF,0.75,0.95,0.05,5
17,914.0,0.30466666666666664,4.680337258844335,0.4278884117569575,44456.560239386556,3000.0,3.202407002188184,60,Transitive FD-NoF,0.75,0.95,0.05,5
18,1071.0000000000005,0.35700000000000015,4.922220653879759,0.4638404446023415,44456.560239386556,3000.0,1.188608776844071,60,Transitive FD-NoF,0.75,0.95,0.05,5
19,1031.0,0.3436666666666667,5.180015716014513,0.49463197762995803,44456.560239386556,3000.0,3.322987390882638,60,Transitive FD-NoF,0.75,0.95,0.05,5
20,1048.0,0.34933333333333333,5.3527090761834755,0.49732960210543237,44456.560239386556,3000.0,1.1087786259541985,60,Transitive FD-NoF,0.75,0.95,0.05,5
21,1045.5000000000002,0.3485000000000001,4.827553581462472,0.5004562993187964,44456.560239386556,3000.0,0.9539823008849557,60,Transitive FD-NoF,0.75,0.95,0.05,5
22,1094.0,0.36466666666666664,4.909510842546173,0.49976097579775136,44456.560239386556,3000.0,2.729433272394881,60,Transitive FD-NoF,0.75,0.95,0.05,5
23,949.9999999999999,0.31666666666666665,5.027921369977917,0.49485922005264793,44456.560239386556,3000.0,4.1410526315789475,60,Transitive FD-NoF,0.75,0.95,0.05,5
24,733.3541666666667,0.24445138888888893,4.929556810284572,0.4957386324398271,44456.560239386556,3000.0,1.2628372497824194,60,Transitive FD-NoF,0.75,0.95,0.05,5
25,933.0,0.311,4.90457000096804,0.5254712730903116,44456.560239386556,3000.0,2.356913183279743,60,Transitive FD-NoF,0.75,0.95,0.05,5
26,726.1449614582485,0.24204832048608285,5.007772758108391,0.5238673936423404,44456.560239386556,3000.0,1.8845738942826322,60,Transitive FD-NoF,0.75,0.95,0.05,5
27,815.5122448979592,0.2718374149659864,5.05358971812043,0.5177828515027818,44456.560239386556,3000.0,2.800825593395253,60,Transitive FD-NoF,0.75,0.95,0.05,5
28,720.3576131687242,0.24011920438957474,5.144260033647161,0.5186121540931213,44456.560239386556,3000.0,2.808450704225352,60,Transitive FD-NoF,0.75,0.95,0.05,5
29,687.6944444444445,0.22923148148148148,5.203000368711989,0.5141768783835023,44456.560239386556,3000.0,8.8046783625731,60,Transitive FD-NoF,0.75,0.95,0.05,5
30,690.8666666666666,0.23028888888888885,5.257430771243147,0.5143330481986977,44456.560239386556,3000.0,2.1718426501035197,60,Transitive FD-NoF,0.75,0.95,0.05,5
31,632.6796652421651,0.21089322174738837,5.331929740255376,0.5109944993443505,44456.560239386556,3000.0,4.195694716242661,60,Transitive FD-NoF,0.75,0.95,0.05,5
32,669.1851851851851,0.2230617283950617,5.335462923267826,0.5051601659584912,44456.560239386556,3000.0,4.210698689956332,60,Transitive FD-NoF,0.75,0.95,0.05,5
33,439.0,0.14633333333333334,5.341201310689895,0.4985407489488716,44456.560239386556,3000.0,4.503378378378378,60,Transitive FD-NoF,0.75,0.95,0.05,5
