Passo,Nível_de_Compartilhamento,Justiça,Satisfação,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,0.5,-0.6666666666666666,-0.3333333333333333,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
2,0.5,0.0,0.3333333333333333,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
3,0.5,1.0,1.0,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
4,0.5,1.1666666666666667,1.0,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
5,0.5,1.1666666666666667,1.0,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
6,0.5,1.0,1.0,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
7,0.5,1.0555555555555556,1.0,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
8,0.5,1.0555555555555556,1.0,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
9,0.5,1.0,1.0,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
10,0.5,1.0277777777777777,1.0,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
11,0.5,1.0277777777777777,1.0,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
12,0.5,1.0,1.0,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
13,0.44999999999999973,1.0137755102040817,0.9933333333333333,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
14,0.39999999999999947,1.012641723356009,0.9799999999999999,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
15,0.39999999999999947,1.000141723356009,0.9666666666666665,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
16,0.2999999999999998,1.0061868686868687,0.9455555555555554,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
17,0.24999999999999956,1.0050433581093958,0.9199999999999996,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
18,0.24999999999999956,1.000457404230989,0.894444444444444,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
19,0.1499999999999999,1.002710908696595,0.8650793650793648,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
20,0.09999999999999964,1.0020839494489462,0.8325396825396822,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
21,0.09999999999999964,1.0009404388714733,0.7999999999999998,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
22,0.0,1.0009404388714733,0.7654761904761903,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
23,0.0,1.0009404388714733,0.7327380952380951,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
24,0.0,1.0009404388714733,0.6999999999999997,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
25,0.0,1.0009404388714733,0.6731481481481478,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
26,0.0,1.0009404388714733,0.6476851851851849,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
27,0.0,1.0009404388714733,0.6222222222222219,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
28,0.0,1.0009404388714733,0.6007407407407405,16.799999999999994,6.0,0.5,3,FD-NoF,0.75,0.95,0.05,1
