Passo,Nível_de_Compartilhamento,Justiça,Satisfação,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
55,0.5,1.0009746588693957,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
56,0.5,1.0009746588693955,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
57,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
58,0.5,1.000877192982456,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
59,0.5,1.000877192982456,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
60,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
61,0.5,1.0007936507936508,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
62,0.5,1.0007936507936508,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
63,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
64,0.5,1.000721500721501,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
65,0.5,1.0007215007215007,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
66,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
67,0.5,1.000658761528327,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
68,0.5,1.000658761528327,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
69,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
70,0.5,1.0006038647342994,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
71,0.5,1.0006038647342996,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
72,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
73,0.5,1.0005555555555556,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
74,0.5,1.0005555555555556,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
75,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
76,0.5,1.0005128205128206,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
77,0.5,1.0005128205128206,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
78,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
79,0.5,1.0004748338081673,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
80,0.5,1.000474833808167,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
81,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
82,0.5,1.0004409171075836,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
83,0.5,1.0004409171075839,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
84,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
85,0.5,1.0004105090311988,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
86,0.5,1.0004105090311988,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
87,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
88,0.5,1.000383141762452,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
89,0.5,1.000383141762452,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
90,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
91,0.5,1.000358422939068,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
92,0.5,1.000358422939068,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
93,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
94,0.5,1.0003360215053763,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
95,0.5,1.0003360215053763,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
96,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
97,0.5,1.0003156565656566,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
98,0.5,1.0003156565656566,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
99,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
100,0.5,1.0002970885323827,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
101,0.5,1.0002970885323827,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
102,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
103,0.5,1.000280112044818,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
104,0.5,1.000280112044818,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
105,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
106,0.5,1.0002645502645502,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
107,0.5,1.0002645502645502,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
108,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
109,0.5,1.0002502502502502,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
110,0.5,1.0002502502502502,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
111,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
112,0.5,1.0002370791844475,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
113,0.5,1.0002370791844477,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
114,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
115,0.5,1.000224921277553,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
116,0.5,1.000224921277553,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
117,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
118,0.5,1.0002136752136752,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
119,0.5,1.0002136752136752,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
120,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
121,0.5,1.0002032520325204,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
122,0.5,1.0002032520325204,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
123,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
124,0.5,1.000193573364305,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
125,0.5,1.000193573364305,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
126,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
127,0.5,1.0001845699520118,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
128,0.5,1.0001845699520118,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
129,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
130,0.5,1.0001761804087386,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
131,0.5,1.0001761804087386,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
132,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
133,0.5,1.00016835016835,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
134,0.5,1.00016835016835,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
135,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
136,0.5,1.000161030595813,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
137,0.5,1.000161030595813,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
138,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
139,0.5,1.0001541782300338,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
140,0.5,1.0001541782300338,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
141,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
142,0.5,1.0001477541371158,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
143,0.5,1.0001477541371158,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
144,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
145,0.5,1.000141723356009,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
146,0.5,1.000141723356009,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
147,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
148,0.5,1.0001360544217688,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
149,0.5,1.0001360544217686,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
150,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
151,0.5,1.0001307189542483,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
152,0.5,1.0001307189542483,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
153,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
154,0.5,1.000125691302162,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
155,0.5,1.000125691302162,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
156,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
157,0.5,1.0001209482341558,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
158,0.5,1.0001209482341558,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
159,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
160,0.5,1.0001164686699278,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
161,0.5,1.0001164686699278,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
162,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
163,0.5,1.0001122334455668,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
164,0.5,1.0001122334455668,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
165,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
166,0.5,1.0001082251082252,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
167,0.5,1.0001082251082252,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
168,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
169,0.5,1.0001044277360067,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
170,0.5,1.0001044277360067,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
171,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
172,0.5,1.0001008267795928,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
173,0.5,1.0001008267795928,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
174,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
175,0.5,1.0000974089226573,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
176,0.5,1.0000974089226573,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
177,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
178,0.5,1.0000941619585688,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
