Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,2815.0,0.4691666666666667,-0.3333333333333333,-0.6666666666666666,78246.65749872071,6000.0,0.7632863340563991,60,Transitive FD-NoF,0.75,0.95,0.05,6
2,1476.0,0.246,0.16872156907525274,-0.5333333333333333,78246.65749872071,6000.0,0.4081858407079646,60,Transitive FD-NoF,0.75,0.95,0.05,6
3,3408.000000000001,0.5680000000000002,1.0560425271868048,-0.43333333333333335,78246.65749872071,6000.0,0.9670828603859251,60,Transitive FD-NoF,0.75,0.95,0.05,6
4,2411.0,0.4018333333333333,1.1885990517472131,-0.4,78246.65749872071,6000.0,0.6691645850679989,60,Transitive FD-NoF,0.75,0.95,0.05,6
5,792.0,0.132,1.5701200247729739,-0.3333333333333333,78246.65749872071,6000.0,0.22006112809113643,60,Transitive FD-NoF,0.75,0.95,0.05,6
6,2527.0,0.4211666666666667,3.4561549758488925,-0.3,78246.65749872071,6000.0,0.7224128073184677,60,Transitive FD-NoF,0.75,0.95,0.05,6
7,3261.0,0.5435,4.5026611566724775,-0.27244474447444744,78246.65749872071,6000.0,1.6455995274660367,60,Transitive FD-NoF,0.75,0.95,0.05,6
8,2050.0000000000005,0.34166666666666673,3.1705424586742823,-0.23911141114111417,78246.65749872071,6000.0,0.6408252578930916,60,Transitive FD-NoF,0.75,0.95,0.05,6
9,2776.0000000000014,0.4626666666666669,2.4079643796459616,-0.1724447444744475,78246.65749872071,6000.0,0.8093294460641399,60,Transitive FD-NoF,0.75,0.95,0.05,6
10,1495.0,0.24916666666666668,2.2566948201277466,-0.1724447444744475,78246.65749872071,6000.0,0.40625,60,Transitive FD-NoF,0.75,0.95,0.05,6
11,1604.9999999999984,0.26749999999999974,2.3229204097528746,-0.1391114111411141,78246.65749872071,6000.0,0.47122724603640637,60,Transitive FD-NoF,0.75,0.95,0.05,6
12,1595.0,0.2658333333333333,2.3559116320627784,-0.1391114111411141,78246.65749872071,6000.0,0.47969924812030074,60,Transitive FD-NoF,0.75,0.95,0.05,6
13,695.0,0.11583333333333333,2.3858607965035157,-0.039111411141114084,78246.65749872071,6000.0,0.20617027588252743,60,Transitive FD-NoF,0.75,0.95,0.05,6
14,1670.0000000000002,0.2783333333333334,2.49057874062209,-0.005778077807780748,78246.65749872071,6000.0,0.48363741673906746,60,Transitive FD-NoF,0.75,0.95,0.05,6
15,1961.0,0.3268333333333333,2.5443395448129382,-0.005778077807780748,78246.65749872071,6000.0,0.6435838529701345,60,Transitive FD-NoF,0.75,0.95,0.05,6
16,2676.000000000001,0.4460000000000002,2.473421051971611,0.02755525552555259,78246.65749872071,6000.0,0.802158273381295,60,Transitive FD-NoF,0.75,0.95,0.05,6
17,2093.0000000000014,0.34883333333333355,2.4544600752492634,0.02755525552555259,78246.65749872071,6000.0,0.6795454545454546,60,Transitive FD-NoF,0.75,0.95,0.05,6
