Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,1370.0,0.45666666666666667,-0.2833333333333333,-0.4831955522462644,47806.586213171075,3000.0,2.5525547445255476,60,Transitive FD-NoF,0.75,0.95,0.05,5
2,1187.0,0.39566666666666667,1.6187579631686837,-0.3009105505820107,47806.586213171075,3000.0,1.7245155855096883,60,Transitive FD-NoF,0.75,0.95,0.05,5
3,1152.8827838827838,0.38429426129426125,4.605881619946558,-0.23898097074057917,47806.586213171075,3000.0,3.4991334488734833,60,Transitive FD-NoF,0.75,0.95,0.05,5
4,1138.2295023171262,0.3794098341057087,5.606299888849802,-0.017913482012998902,47806.586213171075,3000.0,2.5735422106179286,60,Transitive FD-NoF,0.75,0.95,0.05,5
5,1170.0000000000014,0.39000000000000046,5.865454384709738,-0.010687685820726402,47806.586213171075,3000.0,1.164957264957265,60,Transitive FD-NoF,0.75,0.95,0.05,5
6,1055.8406790342272,0.351946893011409,3.519314864684487,0.03518987333637845,47806.586213171075,3000.0,2.8787037037037035,60,Transitive FD-NoF,0.75,0.95,0.05,5
7,1084.0,0.36133333333333334,2.9092695948265,0.13120695079601605,47806.586213171075,3000.0,5.638640429338103,60,Transitive FD-NoF,0.75,0.95,0.05,5
8,938.3817989160317,0.3127939329720106,2.96123821638523,0.31385513592330605,47806.586213171075,3000.0,2.964968152866242,60,Transitive FD-NoF,0.75,0.95,0.05,5
9,996.4471766195906,0.33214905887319685,2.816494028569137,0.40902068429185623,47806.586213171075,3000.0,3.3296921549155907,60,Transitive FD-NoF,0.75,0.95,0.05,5
10,1153.9557522123894,0.3846519174041298,2.90373284565152,0.4131831013961999,47806.586213171075,3000.0,1.7025862068965518,60,Transitive FD-NoF,0.75,0.95,0.05,5
11,1018.459842519685,0.33948661417322834,2.9910828632122977,0.40840279323605616,47806.586213171075,3000.0,2.1595744680851063,60,Transitive FD-NoF,0.75,0.95,0.05,5
12,922.74334262809,0.30758111420936335,2.9217507282675195,0.4046788224961907,47806.586213171075,3000.0,2.338250790305585,60,Transitive FD-NoF,0.75,0.95,0.05,5
13,995.375682110239,0.33179189403674636,2.9536988042815273,0.4078325246627798,47806.586213171075,3000.0,1.319526627218935,60,Transitive FD-NoF,0.75,0.95,0.05,5
14,1060.8948525370945,0.3536316175123648,4.2349390296051945,0.40920320751228423,47806.586213171075,3000.0,2.14058106841612,60,Transitive FD-NoF,0.75,0.95,0.05,5
15,910.6212248386694,0.3035404082795565,4.384391413239825,0.39670001860446064,47806.586213171075,3000.0,3.0647249190938513,60,Transitive FD-NoF,0.75,0.95,0.05,5
16,957.8723037100951,0.319290767903365,4.566846954165386,0.39668385074545065,47806.586213171075,3000.0,3.440041710114703,60,Transitive FD-NoF,0.75,0.95,0.05,5
17,913.9999999999995,0.30466666666666653,4.715662050742959,0.4244232360887922,47806.586213171075,3000.0,3.202407002188184,60,Transitive FD-NoF,0.75,0.95,0.05,5
18,1042.515760539763,0.34750525351325434,4.934108082367036,0.4605453891436932,47806.586213171075,3000.0,1.188608776844071,60,Transitive FD-NoF,0.75,0.95,0.05,5
19,1026.683908045977,0.342227969348659,5.1822079140480035,0.4921054153412317,47806.586213171075,3000.0,3.322987390882638,60,Transitive FD-NoF,0.75,0.95,0.05,5
20,1041.7394957983188,0.34724649859943957,5.345119151430094,0.4947536870204583,47806.586213171075,3000.0,1.1087786259541985,60,Transitive FD-NoF,0.75,0.95,0.05,5
21,1051.1751479782565,0.35039171599275215,4.828230648990717,0.4976558424879917,47806.586213171075,3000.0,0.9539823008849557,60,Transitive FD-NoF,0.75,0.95,0.05,5
22,1094.0,0.36466666666666664,4.919686036663105,0.4974124479424864,47806.586213171075,3000.0,2.729433272394881,60,Transitive FD-NoF,0.75,0.95,0.05,5
23,923.5285265792403,0.3078428421930801,5.055242225201949,0.4923578095252444,47806.586213171075,3000.0,4.1410526315789475,60,Transitive FD-NoF,0.75,0.95,0.05,5
24,803.2118111071437,0.26773727036904793,4.978111195521042,0.4933845689189109,47806.586213171075,3000.0,1.2628372497824194,60,Transitive FD-NoF,0.75,0.95,0.05,5
25,926.1609430503258,0.3087203143501086,4.943109383398156,0.5231825442184497,47806.586213171075,3000.0,2.356913183279743,60,Transitive FD-NoF,0.75,0.95,0.05,5
26,781.0381733842278,0.26034605779474257,5.054558796236658,0.5226107376072825,47806.586213171075,3000.0,1.8845738942826322,60,Transitive FD-NoF,0.75,0.95,0.05,5
27,844.3757613530238,0.2814585871176746,5.102256705544207,0.5171312103563012,47806.586213171075,3000.0,2.800825593395253,60,Transitive FD-NoF,0.75,0.95,0.05,5
28,760.4252978222929,0.2534750992740976,5.203210851099498,0.5179110326870965,47806.586213171075,3000.0,2.808450704225352,60,Transitive FD-NoF,0.75,0.95,0.05,5
29,612.3045660805745,0.2041015220268582,5.252016096949593,0.5125332387140084,47806.586213171075,3000.0,8.8046783625731,60,Transitive FD-NoF,0.75,0.95,0.05,5
30,733.4113116714888,0.24447043722382958,5.340772110913113,0.5126614725551305,47806.586213171075,3000.0,2.1718426501035197,60,Transitive FD-NoF,0.75,0.95,0.05,5
31,712.581828451545,0.237527276150515,5.447306454581911,0.5094896029621054,47806.586213171075,3000.0,4.195694716242661,60,Transitive FD-NoF,0.75,0.95,0.05,5
32,716.5811473678201,0.23886038245594005,5.463638385978057,0.5037997146901677,47806.586213171075,3000.0,4.210698689956332,60,Transitive FD-NoF,0.75,0.95,0.05,5
33,526.5142857142857,0.1755047619047619,5.492971608286299,0.4995132313129225,47806.586213171075,3000.0,4.503378378378378,60,Transitive FD-NoF,0.75,0.95,0.05,5
34,664.7499526668829,0.22158331755562763,5.521016775729242,0.529877955442295,47806.586213171075,3000.0,2.2396265560165975,60,Transitive FD-NoF,0.75,0.95,0.05,5
35,634.4705882352943,0.21149019607843142,5.574485100240159,0.5224848216029893,47806.586213171075,3000.0,2.040498442367601,60,Transitive FD-NoF,0.75,0.95,0.05,5
36,483.5865346824692,0.16119551156082307,5.590871809939296,0.5125383839354365,47806.586213171075,3000.0,13.937759336099585,60,Transitive FD-NoF,0.75,0.95,0.05,5
37,402.69230769230774,0.13423076923076924,5.612967233003707,0.5080399721749996,47806.586213171075,3000.0,2.4952380952380953,60,Transitive FD-NoF,0.75,0.95,0.05,5
38,387.5,0.12916666666666668,5.619147676157007,0.5026462337289418,47806.586213171075,3000.0,5.352739726027397,60,Transitive FD-NoF,0.75,0.95,0.05,5
39,385.90822317262837,0.12863607439087613,5.627660196593632,0.49621941206097203,47806.586213171075,3000.0,3.691329479768786,60,Transitive FD-NoF,0.75,0.95,0.05,5
40,327.2826683122829,0.10909422277076097,5.626428824837264,0.49261275802910337,47806.586213171075,3000.0,2.5090702947845807,60,Transitive FD-NoF,0.75,0.95,0.05,5
41,359.0,0.11966666666666667,5.634220361688773,0.48978567490490815,47806.586213171075,3000.0,1.7336898395721925,60,Transitive FD-NoF,0.75,0.95,0.05,5
42,445.8901951094829,0.14863006503649429,5.643759772995099,0.48867068516212375,47806.586213171075,3000.0,1.6613508442776737,60,Transitive FD-NoF,0.75,0.95,0.05,5
43,386.7420424403184,0.1289140141467728,5.630637728995556,0.4850522012501242,47806.586213171075,3000.0,3.378787878787879,60,Transitive FD-NoF,0.75,0.95,0.05,5
44,335.17142857142846,0.11172380952380949,5.648431296524544,0.4846155334223734,47806.586213171075,3000.0,1.8576017130620985,60,Transitive FD-NoF,0.75,0.95,0.05,5
45,308.49200257588416,0.10283066752529472,5.668771226732441,0.48030457279908145,47806.586213171075,3000.0,4.0950782997762865,60,Transitive FD-NoF,0.75,0.95,0.05,5
46,324.5428571428571,0.10818095238095236,5.683229057885446,0.47586048467832115,47806.586213171075,3000.0,4.428884026258205,60,Transitive FD-NoF,0.75,0.95,0.05,5
47,443.0554045307443,0.14768513484358142,5.720620573889287,0.4758408795568669,47806.586213171075,3000.0,1.5320574162679426,60,Transitive FD-NoF,0.75,0.95,0.05,5
48,414.16250969608257,0.13805416989869418,5.733457523030083,0.47509795706136165,47806.586213171075,3000.0,2.500968992248062,60,Transitive FD-NoF,0.75,0.95,0.05,5
49,526.0,0.17533333333333334,5.730377615757891,0.5067390981482415,47806.586213171075,3000.0,1.5088062622309197,60,Transitive FD-NoF,0.75,0.95,0.05,5
50,443.92008693173716,0.14797336231057906,5.744732127986091,0.5051492303377757,47806.586213171075,3000.0,1.694207027540361,60,Transitive FD-NoF,0.75,0.95,0.05,5
51,362.66666666666674,0.12088888888888892,5.753478411260716,0.5037673367878254,47806.586213171075,3000.0,2.942366026289181,60,Transitive FD-NoF,0.75,0.95,0.05,5
52,367.3333333333335,0.1224444444444445,5.788626189748045,0.5038863291465425,47806.586213171075,3000.0,1.6326530612244898,60,Transitive FD-NoF,0.75,0.95,0.05,5
53,382.2777777777777,0.12742592592592591,5.803737590171343,0.5033318533146879,47806.586213171075,3000.0,1.4770459081836327,60,Transitive FD-NoF,0.75,0.95,0.05,5
54,415.5,0.1385,5.815082330111251,0.5027101653474816,47806.586213171075,3000.0,2.1599210266535045,60,Transitive FD-NoF,0.75,0.95,0.05,5
55,414.0,0.138,5.82786888744461,0.4999691049700879,47806.586213171075,3000.0,6.810865191146881,60,Transitive FD-NoF,0.75,0.95,0.05,5
56,301.33333333333326,0.10044444444444442,5.845998063176963,0.4989074333631873,47806.586213171075,3000.0,3.200190657769304,60,Transitive FD-NoF,0.75,0.95,0.05,5
57,371.6416666666667,0.12388055555555556,5.872125858210852,0.4986383467762179,47806.586213171075,3000.0,1.4217311233885819,60,Transitive FD-NoF,0.75,0.95,0.05,5
58,309.5476190476189,0.10318253968253964,5.896161819554061,0.4978180160696689,47806.586213171075,3000.0,2.380952380952381,60,Transitive FD-NoF,0.75,0.95,0.05,5
59,378.5,0.12616666666666668,5.905790600768639,0.4936261478916508,47806.586213171075,3000.0,2.824919441460795,60,Transitive FD-NoF,0.75,0.95,0.05,5
60,559.0,0.18633333333333332,5.909857410748017,0.4900255282089495,47806.586213171075,3000.0,3.391919191919192,60,Transitive FD-NoF,0.75,0.95,0.05,5
61,473.0,0.15766666666666668,5.916696026175808,0.4874982787363928,47806.586213171075,3000.0,2.568273092369478,60,Transitive FD-NoF,0.75,0.95,0.05,5
